interaction_id,customer_id,interaction_date,channel,interaction_type,interaction_outcome
I0000031,C000619,2025-09-29,SMS,PAYMENT_REMINDER,PENDING
I0000032,C000940,2024-10-19,SMS,COLLECTION,ESCALATED
I0000033,C000356,2025-10-13,BRANCH,LOAN_QUERY,RESOLVED
I0000034,C000213,2026-03-29,SMS,COLLECTION,RESOLVED
I0000035,C000022,2025-12-30,APP,COLLECTION,ESCALATED
I0000036,C000066,2025-11-23,APP,COMPLAINT,PENDING
I0000037,C000247,2025-09-26,EMAIL,LOAN_QUERY,ESCALATED
I0000038,C000345,2024-10-19,EMAIL,COLLECTION,PENDING
I0000039,C000773,2025-12-23,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000040,C000855,2025-01-24,SMS,COLLECTION,ESCALATED
I0000041,C000090,2024-10-17,SMS,COMPLAINT,ESCALATED
I0000042,C000766,2026-02-25,SMS,COMPLAINT,PENDING
I0000043,C000622,2026-03-25,EMAIL,LOAN_QUERY,RESOLVED
I0000044,C000236,2024-12-16,SMS,COMPLAINT,ESCALATED
I0000045,C000794,2025-12-25,APP,GENERAL_QUERY,RESOLVED
I0000046,C000688,2026-03-13,APP,PAYMENT_REMINDER,RESOLVED
I0000047,C000633,2026-01-06,APP,COLLECTION,ESCALATED
I0000048,C000665,2024-11-26,APP,GENERAL_QUERY,PENDING
I0000049,C000339,2025-11-10,EMAIL,LOAN_QUERY,ESCALATED
I0000050,C000968,2026-06-29,SMS,LOAN_QUERY,PENDING
I0000051,C000110,2026-03-31,CALL,GENERAL_QUERY,ESCALATED
I0000052,C000444,2026-06-16,EMAIL,LOAN_QUERY,RESOLVED
I0000053,C000546,2026-03-08,CALL,PAYMENT_REMINDER,ESCALATED
I0000054,C000694,2026-01-17,CALL,GENERAL_QUERY,RESOLVED
I0000055,C000083,2026-08-04,APP,COMPLAINT,PENDING
I0000056,C000880,2025-04-23,BRANCH,GENERAL_QUERY,RESOLVED
I0000057,C000423,2026-07-20,EMAIL,COLLECTION,PENDING
I0000058,C000766,2025-03-07,CALL,GENERAL_QUERY,PENDING
I0000059,C000940,2024-11-16,EMAIL,PAYMENT_REMINDER,PENDING
I0000060,C000906,2024-11-26,BRANCH,GENERAL_QUERY,PENDING
I0000061,C000009,2025-02-18,APP,GENERAL_QUERY,RESOLVED
I0000062,C000324,2026-02-26,BRANCH,COMPLAINT,PENDING
I0000063,C000129,2026-07-12,CALL,LOAN_QUERY,ESCALATED
I0000064,C000251,2026-08-24,CALL,LOAN_QUERY,PENDING
I0000065,C000344,2025-01-06,BRANCH,LOAN_QUERY,ESCALATED
I0000066,C000158,2026-06-07,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000067,C000761,2025-07-15,BRANCH,COLLECTION,PENDING
I0000068,C000050,2025-07-07,CALL,GENERAL_QUERY,PENDING
I0000069,C000162,2024-12-02,APP,COMPLAINT,RESOLVED
I0000070,C000606,2024-11-29,SMS,LOAN_QUERY,RESOLVED
I0000071,C000428,2025-06-03,APP,COLLECTION,PENDING
I0000072,C000929,2025-11-07,SMS,COLLECTION,PENDING
I0000073,C000993,2025-04-18,EMAIL,LOAN_QUERY,ESCALATED
I0000074,C000187,2025-11-19,APP,GENERAL_QUERY,PENDING
I0000075,C000869,2025-06-05,CALL,GENERAL_QUERY,RESOLVED
I0000076,C000387,2025-11-25,BRANCH,COMPLAINT,PENDING
I0000077,C000347,2024-10-22,CALL,PAYMENT_REMINDER,RESOLVED
I0000078,C000166,2025-06-09,SMS,PAYMENT_REMINDER,RESOLVED
I0000079,C000066,2025-01-20,SMS,COLLECTION,ESCALATED
I0000080,C000648,2026-05-30,EMAIL,COLLECTION,PENDING
I0000081,C000822,2025-07-23,CALL,LOAN_QUERY,PENDING
I0000082,C000027,2025-03-22,CALL,GENERAL_QUERY,RESOLVED
I0000083,C000582,2025-02-07,APP,COLLECTION,PENDING
I0000084,C000054,2026-02-09,APP,GENERAL_QUERY,PENDING
I0000085,C000829,2024-12-17,SMS,PAYMENT_REMINDER,RESOLVED
I0000086,C000138,2024-12-11,APP,GENERAL_QUERY,RESOLVED
I0000087,C000213,2025-12-21,BRANCH,COMPLAINT,ESCALATED
I0000088,C000368,2026-02-07,SMS,PAYMENT_REMINDER,ESCALATED
I0000089,C000067,2025-07-26,BRANCH,PAYMENT_REMINDER,ESCALATED
I0000090,C000151,2024-10-11,EMAIL,COMPLAINT,RESOLVED
I0000091,C000950,2025-05-03,SMS,GENERAL_QUERY,RESOLVED
I0000092,C000763,2025-09-04,CALL,COMPLAINT,PENDING
I0000093,C000959,2026-05-29,SMS,LOAN_QUERY,PENDING
I0000094,C000644,2026-03-01,CALL,LOAN_QUERY,PENDING
I0000095,C000603,2026-02-20,APP,LOAN_QUERY,RESOLVED
I0000096,C000793,2025-01-17,CALL,COMPLAINT,ESCALATED
I0000097,C000470,2025-01-07,CALL,PAYMENT_REMINDER,RESOLVED
I0000098,C000272,2024-09-30,CALL,COLLECTION,ESCALATED
I0000099,C000773,2025-05-17,EMAIL,COLLECTION,PENDING
I0000100,C000400,2025-03-10,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000101,C000680,2025-12-26,BRANCH,COLLECTION,PENDING
I0000102,C000228,2026-08-19,CALL,COMPLAINT,RESOLVED
I0000103,C000426,2025-09-16,EMAIL,LOAN_QUERY,PENDING
I0000104,C000397,2026-02-24,SMS,PAYMENT_REMINDER,ESCALATED
I0000105,C000017,2024-09-21,APP,GENERAL_QUERY,RESOLVED
I0000106,C000354,2025-09-20,BRANCH,PAYMENT_REMINDER,ESCALATED
I0000107,C000796,2025-09-21,EMAIL,GENERAL_QUERY,PENDING
I0000108,C000374,2025-04-15,BRANCH,GENERAL_QUERY,RESOLVED
I0000109,C000006,2025-06-25,APP,PAYMENT_REMINDER,PENDING
I0000110,C000265,2026-03-22,CALL,GENERAL_QUERY,RESOLVED
I0000111,C000659,2025-04-20,SMS,PAYMENT_REMINDER,ESCALATED
I0000112,C000202,2025-05-04,BRANCH,COMPLAINT,RESOLVED
I0000113,C000509,2025-09-24,SMS,PAYMENT_REMINDER,RESOLVED
I0000114,C000594,2026-04-03,APP,LOAN_QUERY,RESOLVED
I0000115,C000613,2026-03-12,APP,COMPLAINT,RESOLVED
I0000116,C000281,2026-05-22,CALL,COMPLAINT,ESCALATED
I0000117,C000911,2024-10-30,SMS,PAYMENT_REMINDER,PENDING
I0000118,C000210,2026-07-18,APP,PAYMENT_REMINDER,PENDING
I0000119,C000598,2025-11-03,EMAIL,COLLECTION,ESCALATED
I0000120,C000001,2026-02-25,EMAIL,COMPLAINT,RESOLVED
I0000121,C000740,2026-08-09,CALL,GENERAL_QUERY,RESOLVED
I0000122,C000425,2026-02-25,EMAIL,COMPLAINT,PENDING
I0000123,C000793,2026-05-09,CALL,COMPLAINT,ESCALATED
I0000124,C000730,2024-12-31,SMS,LOAN_QUERY,RESOLVED
I0000125,C000760,2026-08-30,SMS,PAYMENT_REMINDER,RESOLVED
I0000126,C000551,2026-01-26,EMAIL,COMPLAINT,RESOLVED
I0000127,C000925,2026-08-12,SMS,COLLECTION,RESOLVED
I0000128,C000833,2025-02-15,EMAIL,GENERAL_QUERY,ESCALATED
I0000129,C000183,2024-11-17,APP,COLLECTION,RESOLVED
I0000130,C000480,2025-08-26,BRANCH,COMPLAINT,ESCALATED
I0000131,C000827,2026-04-22,EMAIL,COMPLAINT,ESCALATED
I0000132,C000317,2024-11-04,EMAIL,GENERAL_QUERY,RESOLVED
I0000133,C000732,2025-04-28,APP,LOAN_QUERY,ESCALATED
I0000134,C000855,2025-07-16,APP,GENERAL_QUERY,ESCALATED
I0000135,C000722,2026-04-18,APP,COMPLAINT,PENDING
I0000136,C000136,2024-11-12,CALL,GENERAL_QUERY,ESCALATED
I0000137,C000443,2026-06-17,SMS,COMPLAINT,PENDING
I0000138,C000363,2026-01-08,APP,COMPLAINT,PENDING
I0000139,C000598,2025-12-04,CALL,COLLECTION,RESOLVED
I0000140,C000839,2025-06-06,CALL,COLLECTION,PENDING
I0000141,C000302,2026-04-05,BRANCH,COLLECTION,ESCALATED
I0000142,C000660,2025-03-24,APP,GENERAL_QUERY,PENDING
I0000143,C000149,2025-12-07,APP,PAYMENT_REMINDER,RESOLVED
I0000144,C000526,2025-04-15,EMAIL,COLLECTION,ESCALATED
I0000145,C000460,2025-08-09,SMS,COMPLAINT,ESCALATED
I0000146,C000945,2026-07-28,APP,COMPLAINT,ESCALATED
I0000147,C000815,2026-05-24,EMAIL,PAYMENT_REMINDER,PENDING
I0000148,C000268,2025-09-28,APP,COMPLAINT,PENDING
I0000149,C000843,2026-06-02,BRANCH,COLLECTION,PENDING
I0000150,C000754,2025-07-13,SMS,COLLECTION,ESCALATED
I0000151,C000953,2025-07-30,CALL,LOAN_QUERY,RESOLVED
I0000152,C000735,2024-12-27,CALL,GENERAL_QUERY,PENDING
I0000153,C000221,2026-07-25,CALL,COMPLAINT,ESCALATED
I0000154,C000420,2025-07-29,BRANCH,COMPLAINT,ESCALATED
I0000155,C000840,2025-02-02,CALL,LOAN_QUERY,ESCALATED
I0000156,C000556,2025-03-27,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000157,C000201,2025-05-27,CALL,COLLECTION,RESOLVED
I0000158,C000778,2026-03-16,BRANCH,GENERAL_QUERY,ESCALATED
I0000159,C000492,2026-04-28,CALL,PAYMENT_REMINDER,ESCALATED
I0000160,C000176,2025-12-07,CALL,COLLECTION,ESCALATED
I0000161,C000469,2025-07-04,APP,COLLECTION,RESOLVED
I0000162,C000498,2026-09-02,EMAIL,GENERAL_QUERY,ESCALATED
I0000163,C000659,2024-09-18,CALL,PAYMENT_REMINDER,RESOLVED
I0000164,C000629,2025-06-25,CALL,COMPLAINT,PENDING
I0000165,C000223,2025-03-15,CALL,COLLECTION,ESCALATED
I0000166,C000732,2024-09-26,SMS,COMPLAINT,ESCALATED
I0000167,C000187,2025-01-01,SMS,COMPLAINT,PENDING
I0000168,C000991,2026-04-20,EMAIL,LOAN_QUERY,PENDING
I0000169,C000787,2025-07-11,BRANCH,GENERAL_QUERY,RESOLVED
I0000170,C000614,2024-11-12,CALL,PAYMENT_REMINDER,ESCALATED
I0000171,C000407,2026-04-13,SMS,PAYMENT_REMINDER,RESOLVED
I0000172,C000722,2025-11-05,CALL,COLLECTION,PENDING
I0000173,C000143,2025-05-07,SMS,LOAN_QUERY,PENDING
I0000174,C000519,2024-09-28,SMS,COLLECTION,ESCALATED
I0000175,C000925,2024-12-25,EMAIL,PAYMENT_REMINDER,PENDING
I0000176,C000374,2025-07-03,SMS,COMPLAINT,RESOLVED
I0000177,C000399,2025-09-28,SMS,GENERAL_QUERY,RESOLVED
I0000178,C000728,2026-06-09,CALL,PAYMENT_REMINDER,RESOLVED
I0000179,C000427,2025-11-21,APP,COLLECTION,ESCALATED
I0000180,C000007,2026-08-21,APP,GENERAL_QUERY,ESCALATED
I0000181,C000569,2025-08-30,BRANCH,COMPLAINT,ESCALATED
I0000182,C000822,2024-09-20,CALL,COMPLAINT,RESOLVED
I0000183,C000218,2025-03-02,BRANCH,GENERAL_QUERY,RESOLVED
I0000184,C000350,2026-08-21,EMAIL,LOAN_QUERY,ESCALATED
I0000185,C000181,2025-07-14,SMS,COMPLAINT,PENDING
I0000186,C000808,2025-10-22,APP,LOAN_QUERY,RESOLVED
I0000187,C000884,2025-07-24,SMS,COLLECTION,RESOLVED
I0000188,C000880,2024-10-23,SMS,COMPLAINT,ESCALATED
I0000189,C000019,2025-05-30,APP,PAYMENT_REMINDER,ESCALATED
I0000190,C000255,2026-09-06,CALL,GENERAL_QUERY,RESOLVED
I0000191,C000429,2026-06-09,EMAIL,GENERAL_QUERY,PENDING
I0000192,C000680,2024-10-26,CALL,COLLECTION,ESCALATED
I0000193,C000732,2025-07-18,APP,PAYMENT_REMINDER,RESOLVED
I0000194,C000501,2025-03-18,BRANCH,GENERAL_QUERY,PENDING
I0000195,C000475,2024-10-18,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000196,C000163,2025-07-20,CALL,LOAN_QUERY,PENDING
I0000197,C000900,2025-07-20,EMAIL,GENERAL_QUERY,ESCALATED
I0000198,C000782,2025-03-20,SMS,COLLECTION,RESOLVED
I0000199,C000006,2025-08-19,EMAIL,COMPLAINT,ESCALATED
I0000200,C000542,2026-06-22,SMS,PAYMENT_REMINDER,ESCALATED
I0000201,C000842,2024-09-22,SMS,PAYMENT_REMINDER,ESCALATED
I0000202,C000425,2025-07-01,SMS,COLLECTION,PENDING
I0000203,C000457,2024-10-20,CALL,PAYMENT_REMINDER,PENDING
I0000204,C000990,2024-12-25,SMS,GENERAL_QUERY,PENDING
I0000205,C000459,2026-04-06,EMAIL,LOAN_QUERY,ESCALATED
I0000206,C000291,2025-11-02,BRANCH,COLLECTION,ESCALATED
I0000207,C000728,2026-08-06,APP,PAYMENT_REMINDER,RESOLVED
I0000208,C000304,2026-01-26,APP,COLLECTION,RESOLVED
I0000209,C000834,2024-11-23,CALL,PAYMENT_REMINDER,PENDING
I0000210,C000901,2026-01-31,BRANCH,PAYMENT_REMINDER,PENDING
I0000211,C000588,2026-01-20,APP,COMPLAINT,PENDING
I0000212,C000636,2025-08-15,APP,GENERAL_QUERY,RESOLVED
I0000213,C000865,2025-04-10,SMS,LOAN_QUERY,PENDING
I0000214,C000898,2026-06-28,EMAIL,GENERAL_QUERY,PENDING
I0000215,C000858,2024-09-22,BRANCH,COLLECTION,ESCALATED
I0000216,C000411,2026-01-13,BRANCH,GENERAL_QUERY,ESCALATED
I0000217,C000082,2025-11-13,EMAIL,LOAN_QUERY,PENDING
I0000218,C000494,2025-12-16,SMS,COLLECTION,PENDING
I0000219,C000633,2024-12-18,BRANCH,PAYMENT_REMINDER,PENDING
I0000220,C000496,2024-09-24,CALL,LOAN_QUERY,ESCALATED
I0000221,C000509,2026-07-15,BRANCH,LOAN_QUERY,PENDING
I0000222,C000384,2025-03-03,EMAIL,LOAN_QUERY,ESCALATED
I0000223,C000623,2025-12-15,CALL,COMPLAINT,PENDING
I0000224,C000551,2024-10-20,CALL,LOAN_QUERY,RESOLVED
I0000225,C000049,2025-12-20,BRANCH,GENERAL_QUERY,RESOLVED
I0000226,C000260,2024-12-16,APP,GENERAL_QUERY,ESCALATED
I0000227,C000722,2025-01-22,BRANCH,COLLECTION,ESCALATED
I0000228,C000153,2024-10-31,EMAIL,GENERAL_QUERY,RESOLVED
I0000229,C000558,2026-06-03,SMS,LOAN_QUERY,ESCALATED
I0000230,C000027,2026-04-14,APP,PAYMENT_REMINDER,ESCALATED
I0000231,C000212,2025-03-19,SMS,LOAN_QUERY,PENDING
I0000232,C000601,2026-01-25,APP,COMPLAINT,ESCALATED
I0000233,C000576,2024-10-08,SMS,COMPLAINT,PENDING
I0000234,C000618,2025-01-05,CALL,GENERAL_QUERY,ESCALATED
I0000235,C000751,2025-06-26,APP,COLLECTION,PENDING
I0000236,C000037,2024-12-30,APP,COLLECTION,ESCALATED
I0000237,C000474,2024-10-04,EMAIL,LOAN_QUERY,RESOLVED
I0000238,C000312,2026-01-01,APP,PAYMENT_REMINDER,ESCALATED
I0000239,C000756,2025-04-07,EMAIL,LOAN_QUERY,ESCALATED
I0000240,C000101,2025-06-06,CALL,COMPLAINT,PENDING
I0000241,C000898,2025-01-16,EMAIL,PAYMENT_REMINDER,PENDING
I0000242,C000264,2026-03-04,APP,COMPLAINT,RESOLVED
I0000243,C000698,2025-02-18,SMS,COLLECTION,PENDING
I0000244,C000238,2026-05-05,BRANCH,COMPLAINT,PENDING
I0000245,C000961,2025-09-08,CALL,COMPLAINT,PENDING
I0000246,C000682,2026-04-26,BRANCH,LOAN_QUERY,PENDING
I0000247,C000989,2025-07-01,CALL,COMPLAINT,ESCALATED
I0000248,C000534,2025-12-01,SMS,PAYMENT_REMINDER,PENDING
I0000249,C000181,2025-09-14,EMAIL,PAYMENT_REMINDER,PENDING
I0000250,C000647,2026-03-10,BRANCH,COMPLAINT,RESOLVED
I0000251,C000193,2025-12-24,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000252,C000028,2025-06-27,CALL,LOAN_QUERY,RESOLVED
I0000253,C000263,2025-03-14,BRANCH,COLLECTION,RESOLVED
I0000254,C000817,2026-07-14,SMS,GENERAL_QUERY,PENDING
I0000255,C000214,2024-12-12,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000256,C000001,2025-12-06,CALL,GENERAL_QUERY,ESCALATED
I0000257,C000122,2026-02-02,BRANCH,PAYMENT_REMINDER,PENDING
I0000258,C000717,2026-06-18,APP,PAYMENT_REMINDER,ESCALATED
I0000259,C000150,2025-02-07,APP,COMPLAINT,PENDING
I0000260,C000158,2025-07-17,APP,PAYMENT_REMINDER,RESOLVED
I0000261,C000394,2024-10-18,APP,COLLECTION,RESOLVED
I0000262,C000847,2024-10-24,BRANCH,PAYMENT_REMINDER,ESCALATED
I0000263,C000035,2026-01-13,APP,COLLECTION,RESOLVED
I0000264,C000926,2026-03-26,BRANCH,LOAN_QUERY,PENDING
I0000265,C000772,2025-11-04,EMAIL,PAYMENT_REMINDER,PENDING
I0000266,C000339,2025-08-16,SMS,LOAN_QUERY,RESOLVED
I0000267,C000624,2024-10-19,APP,GENERAL_QUERY,PENDING
I0000268,C000146,2024-12-28,EMAIL,LOAN_QUERY,PENDING
I0000269,C000217,2026-07-18,APP,GENERAL_QUERY,PENDING
I0000270,C000805,2025-09-10,BRANCH,LOAN_QUERY,PENDING
I0000271,C000108,2025-06-13,APP,COMPLAINT,ESCALATED
I0000272,C000099,2026-08-29,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000273,C000800,2026-06-10,SMS,PAYMENT_REMINDER,RESOLVED
I0000274,C000780,2025-10-03,APP,COMPLAINT,ESCALATED
I0000275,C000522,2026-09-11,SMS,COMPLAINT,ESCALATED
I0000276,C000869,2025-05-03,CALL,COMPLAINT,ESCALATED
I0000277,C000847,2026-02-11,BRANCH,COMPLAINT,RESOLVED
I0000278,C000059,2025-05-23,BRANCH,GENERAL_QUERY,ESCALATED
I0000279,C000392,2025-04-04,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000280,C000001,2026-06-08,BRANCH,PAYMENT_REMINDER,ESCALATED
I0000281,C000545,2025-04-16,APP,COMPLAINT,RESOLVED
I0000282,C000084,2026-01-18,BRANCH,PAYMENT_REMINDER,PENDING
I0000283,C000124,2025-12-18,CALL,COLLECTION,PENDING
I0000284,C000231,2024-12-31,BRANCH,PAYMENT_REMINDER,ESCALATED
I0000285,C000387,2024-10-20,APP,GENERAL_QUERY,ESCALATED
I0000286,C000820,2025-05-21,EMAIL,GENERAL_QUERY,RESOLVED
I0000287,C000765,2025-04-26,CALL,PAYMENT_REMINDER,PENDING
I0000288,C000894,2026-04-19,SMS,COLLECTION,ESCALATED
I0000289,C000045,2025-11-22,SMS,COMPLAINT,PENDING
I0000290,C000324,2025-12-29,CALL,LOAN_QUERY,RESOLVED
I0000291,C000050,2025-04-22,EMAIL,COMPLAINT,ESCALATED
I0000292,C000724,2026-03-08,CALL,COLLECTION,ESCALATED
I0000293,C000482,2025-04-25,BRANCH,LOAN_QUERY,PENDING
I0000294,C000321,2026-09-05,APP,PAYMENT_REMINDER,RESOLVED
I0000295,C000087,2025-05-29,CALL,PAYMENT_REMINDER,PENDING
I0000296,C000756,2025-03-09,EMAIL,GENERAL_QUERY,RESOLVED
I0000297,C000333,2025-10-20,SMS,GENERAL_QUERY,ESCALATED
I0000298,C000853,2024-11-25,CALL,COMPLAINT,RESOLVED
I0000299,C000103,2024-12-21,APP,LOAN_QUERY,RESOLVED
I0000300,C000669,2025-11-22,SMS,COLLECTION,RESOLVED
I0000301,C000838,2024-09-28,APP,GENERAL_QUERY,ESCALATED
I0000302,C000201,2026-01-18,BRANCH,LOAN_QUERY,PENDING
I0000303,C000967,2025-11-25,CALL,COMPLAINT,PENDING
I0000304,C000421,2024-12-18,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000305,C000439,2026-03-27,CALL,PAYMENT_REMINDER,PENDING
I0000306,C000293,2025-11-15,CALL,COLLECTION,PENDING
I0000307,C000580,2025-12-22,APP,PAYMENT_REMINDER,PENDING
I0000308,C000439,2025-07-15,CALL,COLLECTION,ESCALATED
I0000309,C000072,2025-06-13,EMAIL,LOAN_QUERY,ESCALATED
I0000310,C000150,2026-01-17,APP,GENERAL_QUERY,PENDING
I0000311,C000641,2025-06-15,EMAIL,GENERAL_QUERY,PENDING
I0000312,C000978,2025-11-01,CALL,COMPLAINT,PENDING
I0000313,C000033,2025-02-27,CALL,PAYMENT_REMINDER,ESCALATED
I0000314,C000280,2025-04-24,CALL,COLLECTION,PENDING
I0000315,C000599,2026-08-05,APP,COMPLAINT,RESOLVED
I0000316,C000228,2026-06-29,EMAIL,GENERAL_QUERY,PENDING
I0000317,C000785,2026-07-04,EMAIL,GENERAL_QUERY,ESCALATED
I0000318,C000035,2025-04-23,CALL,LOAN_QUERY,PENDING
I0000319,C000900,2026-04-30,CALL,COMPLAINT,RESOLVED
I0000320,C000516,2025-05-30,BRANCH,PAYMENT_REMINDER,ESCALATED
I0000321,C000804,2025-07-22,APP,PAYMENT_REMINDER,RESOLVED
I0000322,C000726,2025-07-28,SMS,PAYMENT_REMINDER,PENDING
I0000323,C000990,2025-01-15,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000324,C000322,2026-07-21,CALL,COLLECTION,RESOLVED
I0000325,C000687,2025-01-24,EMAIL,COLLECTION,PENDING
I0000326,C000799,2025-12-23,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000327,C000903,2026-05-25,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000328,C000950,2026-03-02,EMAIL,COLLECTION,ESCALATED
I0000329,C000992,2025-07-01,BRANCH,COLLECTION,ESCALATED
I0000330,C000895,2025-01-10,SMS,GENERAL_QUERY,RESOLVED
I0000331,C000912,2024-12-20,BRANCH,GENERAL_QUERY,PENDING
I0000332,C000391,2025-10-04,BRANCH,COMPLAINT,ESCALATED
I0000333,C000191,2026-01-07,CALL,PAYMENT_REMINDER,ESCALATED
I0000334,C000581,2025-10-05,APP,COMPLAINT,PENDING
I0000335,C000544,2024-10-26,EMAIL,PAYMENT_REMINDER,PENDING
I0000336,C000850,2025-05-18,EMAIL,COMPLAINT,ESCALATED
I0000337,C000208,2026-03-13,SMS,PAYMENT_REMINDER,RESOLVED
I0000338,C000300,2025-07-29,BRANCH,GENERAL_QUERY,PENDING
I0000339,C000854,2025-07-08,APP,COMPLAINT,ESCALATED
I0000340,C000353,2024-09-25,CALL,LOAN_QUERY,RESOLVED
I0000341,C000935,2025-03-17,CALL,COLLECTION,ESCALATED
I0000342,C000815,2026-06-08,SMS,COMPLAINT,PENDING
I0000343,C000691,2025-07-30,EMAIL,LOAN_QUERY,PENDING
I0000344,C000105,2024-12-04,SMS,COMPLAINT,ESCALATED
I0000345,C000851,2026-06-07,SMS,LOAN_QUERY,RESOLVED
I0000346,C000877,2025-08-08,APP,COMPLAINT,RESOLVED
I0000347,C000638,2026-06-30,SMS,PAYMENT_REMINDER,RESOLVED
I0000348,C000109,2025-01-02,BRANCH,LOAN_QUERY,RESOLVED
I0000349,C000675,2025-05-14,SMS,COMPLAINT,ESCALATED
I0000350,C000693,2025-11-10,BRANCH,PAYMENT_REMINDER,RESOLVED
I0000351,C000206,2025-08-10,EMAIL,LOAN_QUERY,ESCALATED
I0000352,C000184,2024-10-09,EMAIL,PAYMENT_REMINDER,PENDING
I0000353,C000188,2025-08-29,BRANCH,PAYMENT_REMINDER,ESCALATED
I0000354,C000441,2024-09-24,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000355,C000961,2025-05-04,CALL,LOAN_QUERY,PENDING
I0000356,C000603,2025-08-30,EMAIL,LOAN_QUERY,ESCALATED
I0000357,C000203,2026-07-18,BRANCH,GENERAL_QUERY,ESCALATED
I0000358,C000111,2026-01-26,APP,PAYMENT_REMINDER,ESCALATED
I0000359,C000272,2025-01-13,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000360,C000823,2026-04-27,SMS,LOAN_QUERY,ESCALATED
I0000361,C000074,2025-08-09,EMAIL,PAYMENT_REMINDER,RESOLVED
I0000362,C000228,2026-08-17,CALL,PAYMENT_REMINDER,ESCALATED
I0000363,C000096,2026-09-01,APP,PAYMENT_REMINDER,ESCALATED
I0000364,C000878,2025-07-28,APP,LOAN_QUERY,ESCALATED
I0000365,C000696,2024-09-28,CALL,COLLECTION,PENDING
I0000366,C000535,2024-12-26,APP,COLLECTION,RESOLVED
I0000367,C000723,2025-02-15,EMAIL,LOAN_QUERY,RESOLVED
I0000368,C000906,2025-06-17,APP,PAYMENT_REMINDER,RESOLVED
I0000369,C000559,2026-05-30,APP,COLLECTION,RESOLVED
I0000370,C000351,2024-11-03,APP,COLLECTION,PENDING
I0000371,C000479,2025-06-27,CALL,LOAN_QUERY,RESOLVED
I0000372,C000785,2025-10-12,APP,LOAN_QUERY,ESCALATED
I0000373,C000248,2025-06-26,APP,GENERAL_QUERY,ESCALATED
I0000374,C000495,2024-10-07,APP,PAYMENT_REMINDER,ESCALATED
I0000375,C000385,2024-11-10,CALL,COMPLAINT,RESOLVED
I0000376,C000138,2025-07-03,EMAIL,COMPLAINT,ESCALATED
I0000377,C000087,2025-02-17,APP,GENERAL_QUERY,RESOLVED
I0000378,C000790,2026-02-26,APP,LOAN_QUERY,PENDING
