repayment_id,loan_id,customer_id,due_date,payment_date,due_amount,paid_amount,payment_status,dpd
R00000032,L0001741,C000345,2024-10-24,2024-11-23,49042,49042,LATE,30
R00000033,L0000781,C000624,2026-05-17,2026-05-17,7785,7785,ON_TIME,0
R00000034,L0000589,C000773,2025-11-13,2025-11-13,24862,24862,ON_TIME,0
R00000035,L0001257,C000370,2025-03-20,2025-03-25,15899,15899,LATE,5
R00000036,L0000736,C000257,2024-03-27,2024-04-01,18024,18024,LATE,5
R00000037,L0001133,C000539,2023-11-30,2023-11-30,42165,42165,ON_TIME,0
R00000038,L0000532,C000946,2026-06-24,2026-06-24,15290,15290,ON_TIME,0
R00000039,L0001744,C000524,2024-03-28,2024-04-02,42549,42549,LATE,5
R00000040,L0000911,C000683,2025-08-14,2025-08-14,11142,11142,ON_TIME,0
R00000041,L0002304,C000436,2024-12-22,2024-12-22,40307,40307,ON_TIME,0
R00000042,L0000007,C000458,2026-02-22,2026-06-22,22212,0,OVERDUE,120
R00000043,L0000118,C000034,2023-09-25,2023-09-30,41741,41741,LATE,5
R00000044,L0000061,C000952,2025-08-20,2025-08-20,28751,28751,ON_TIME,0
R00000045,L0000727,C000380,2025-02-24,2025-03-11,25329,25329,LATE,15
R00000046,L0001176,C000526,2024-09-17,2024-09-22,49741,49741,LATE,5
R00000047,L0001631,C000556,2026-03-08,2026-03-08,33838,33838,ON_TIME,0
R00000048,L0001197,C000899,2026-02-11,2026-02-11,47225,47225,ON_TIME,0
R00000049,L0000242,C000211,2026-05-19,2026-06-18,35363,35363,LATE,30
R00000050,L0001379,C000392,2026-07-16,2026-07-16,28091,28091,ON_TIME,0
R00000051,L0001016,C000150,2025-12-23,2026-01-22,10209,10209,LATE,30
R00000052,L0001473,C000679,2026-03-30,2026-04-04,37565,37565,LATE,5
R00000053,L0001708,C000730,2024-09-14,2024-10-14,16204,16204,LATE,30
R00000054,L0001408,C000234,2025-03-14,2025-03-14,17478,17478,ON_TIME,0
R00000055,L0000612,C000927,2024-12-24,2024-12-24,36469,36469,ON_TIME,0
R00000056,L0002401,C000209,2024-12-02,2025-01-31,45697,45697,LATE,60
R00000057,L0002216,C000869,2026-07-19,2026-07-19,7752,7752,ON_TIME,0
R00000058,L0002294,C000994,2026-02-22,2026-03-09,27985,27985,LATE,15
R00000059,L0000421,C000077,2026-07-27,2026-08-26,43935,43935,LATE,30
R00000060,L0002327,C000648,2024-04-21,2024-04-21,28313,28313,ON_TIME,0
R00000061,L0001589,C000319,2025-04-25,2025-04-25,12414,12414,ON_TIME,0
R00000062,L0000104,C000939,2025-12-02,2025-12-02,30328,30328,ON_TIME,0
R00000063,L0000792,C000777,2024-10-05,2024-10-05,35732,35732,ON_TIME,0
R00000064,L0000816,C000542,2024-02-27,2024-03-28,35743,35743,LATE,30
R00000065,L0002075,C000274,2025-02-07,2025-02-07,47825,47825,ON_TIME,0
R00000066,L0001404,C000867,2025-11-27,2025-12-02,31330,31330,LATE,5
R00000067,L0001653,C000829,2026-03-09,2026-03-14,7611,7611,LATE,5
R00000068,L0000857,C000669,2024-07-12,2024-10-10,23290,0,OVERDUE,90
R00000069,L0002090,C000381,2025-03-31,2025-03-31,43997,43997,ON_TIME,0
R00000070,L0001356,C000469,2025-08-22,2025-08-27,48800,48800,LATE,5
R00000071,L0001171,C000608,2024-02-16,2024-02-16,41924,41924,ON_TIME,0
R00000072,L0001965,C000114,2024-05-01,2024-05-01,21099,21099,ON_TIME,0
R00000073,L0001478,C000191,2025-07-09,2025-07-14,17849,17849,LATE,5
R00000074,L0002234,C000225,2025-06-18,2025-07-18,39067,39067,LATE,30
R00000075,L0001385,C000210,2024-01-22,2024-01-22,10885,10885,ON_TIME,0
R00000076,L0002402,C000785,2024-02-07,2024-02-07,42795,42795,ON_TIME,0
R00000077,L0001397,C000716,2023-12-22,2023-12-22,32464,32464,ON_TIME,0
R00000078,L0000044,C000839,2025-07-08,2025-07-08,23149,23149,ON_TIME,0
R00000079,L0000319,C000162,2024-04-06,2024-08-04,34506,8626,OVERDUE,120
R00000080,L0001266,C000612,2025-09-25,2025-09-25,37982,37982,ON_TIME,0
R00000081,L0000553,C000887,2024-08-15,2024-09-14,38506,38506,LATE,30
R00000082,L0001056,C000635,2025-08-10,2025-08-10,36878,36878,ON_TIME,0
R00000083,L0000159,C000345,2024-01-16,2024-01-16,3921,3921,ON_TIME,0
R00000084,L0001187,C000945,2025-04-12,2025-06-11,48568,48568,LATE,60
R00000085,L0002252,C000682,2026-08-03,2026-11-01,21064,0,OVERDUE,90
R00000086,L0000086,C000632,2025-12-12,2025-12-27,9167,9167,LATE,15
R00000087,L0001358,C000757,2025-06-03,2025-08-02,27397,27397,LATE,60
R00000088,L0000027,C000589,2026-03-18,2026-03-18,38138,38138,ON_TIME,0
R00000089,L0000094,C000175,2026-02-01,2026-02-06,39464,39464,LATE,5
R00000090,L0002377,C000661,2025-12-01,2025-12-01,11114,11114,ON_TIME,0
R00000091,L0001371,C000362,2025-05-22,2025-05-27,25100,25100,LATE,5
R00000092,L0000303,C000199,2024-10-30,2024-11-29,24997,24997,LATE,30
R00000093,L0001233,C000623,2026-03-12,2026-04-11,37021,37021,LATE,30
R00000094,L0001232,C000759,2025-10-30,2025-10-30,7261,7261,ON_TIME,0
R00000095,L0001913,C000369,2026-06-01,2026-06-06,22209,22209,LATE,5
R00000096,L0001124,C000494,2025-07-05,2025-07-05,4580,4580,ON_TIME,0
R00000097,L0001698,C000463,2025-07-31,2025-07-31,44695,44695,ON_TIME,0
R00000098,L0002316,C000748,2026-08-22,2026-08-22,4856,4856,ON_TIME,0
R00000099,L0001599,C000499,2025-10-16,2025-10-16,41548,41548,ON_TIME,0
R00000100,L0000125,C000414,2025-06-25,2025-06-25,19679,19679,ON_TIME,0
R00000101,L0000576,C000003,2024-05-26,2024-05-31,43851,43851,LATE,5
R00000102,L0002189,C000973,2024-04-28,2024-04-28,31308,31308,ON_TIME,0
R00000103,L0002418,C000410,2025-11-10,2025-11-15,34196,34196,LATE,5
R00000104,L0000936,C000645,2024-04-01,2024-04-01,32346,32346,ON_TIME,0
R00000105,L0001344,C000813,2025-10-09,2026-02-06,43055,0,OVERDUE,120
R00000106,L0000754,C000573,2025-08-28,2025-09-02,11259,11259,LATE,5
R00000107,L0002287,C000358,2024-04-04,2024-04-09,3180,3180,LATE,5
R00000108,L0001812,C000375,2026-09-15,2026-09-15,49912,49912,ON_TIME,0
R00000109,L0000862,C000241,2025-11-22,2025-12-22,24275,24275,LATE,30
R00000110,L0002453,C000499,2025-12-16,2025-12-21,6181,6181,LATE,5
R00000111,L0001845,C000653,2024-03-18,2024-03-23,27652,27652,LATE,5
R00000112,L0000837,C000664,2026-08-30,2026-09-29,4367,4367,LATE,30
R00000113,L0002085,C000832,2024-08-12,2024-08-12,13201,13201,ON_TIME,0
R00000114,L0002085,C000832,2025-08-24,2025-08-29,3504,3504,LATE,5
R00000115,L0001964,C000261,2025-09-21,2025-09-21,44148,44148,ON_TIME,0
R00000116,L0002009,C000856,2023-11-06,2023-11-11,11780,11780,LATE,5
R00000117,L0002056,C000961,2024-05-17,2024-09-14,12620,0,OVERDUE,120
R00000118,L0000382,C000314,2026-02-01,2026-03-03,28743,28743,LATE,30
R00000119,L0001588,C000961,2025-04-12,2025-04-17,9803,9803,LATE,5
R00000120,L0000302,C000734,2024-03-19,2024-03-24,3027,3027,LATE,5
R00000121,L0002167,C000706,2026-04-08,2026-04-08,4742,4742,ON_TIME,0
R00000122,L0001113,C000492,2025-06-12,2025-06-12,34668,34668,ON_TIME,0
R00000123,L0000862,C000241,2024-03-06,2024-03-11,3298,3298,LATE,5
R00000124,L0001133,C000539,2024-03-22,2024-06-20,19149,0,OVERDUE,90
R00000125,L0000525,C000538,2025-04-13,2025-06-12,44677,44677,LATE,60
R00000126,L0002306,C000528,2026-02-21,2026-03-08,11102,11102,LATE,15
R00000127,L0001720,C000584,2024-12-09,2024-12-09,39631,39631,ON_TIME,0
R00000128,L0001505,C000907,2023-11-18,2023-11-18,17677,17677,ON_TIME,0
R00000129,L0000464,C000120,2025-12-07,2025-12-07,43619,43619,ON_TIME,0
R00000130,L0001578,C000542,2024-05-12,2024-05-12,3630,3630,ON_TIME,0
R00000131,L0002365,C000201,2024-03-17,2024-03-22,23406,23406,LATE,5
R00000132,L0000934,C000233,2025-04-16,2025-04-16,47244,47244,ON_TIME,0
R00000133,L0001477,C000333,2025-01-02,2025-01-02,44074,44074,ON_TIME,0
R00000134,L0001345,C000261,2025-04-20,2025-05-05,21993,21993,LATE,15
R00000135,L0000079,C000732,2024-12-31,2024-12-31,45472,45472,ON_TIME,0
R00000136,L0001708,C000730,2024-12-16,2025-03-16,26083,6520,OVERDUE,90
R00000137,L0000099,C000953,2025-10-10,2025-10-15,34508,34508,LATE,5
R00000138,L0001275,C000038,2023-10-30,2023-10-30,49209,49209,ON_TIME,0
R00000139,L0002069,C000658,2024-04-25,2024-04-25,34305,34305,ON_TIME,0
R00000140,L0000357,C000864,2024-04-24,2024-05-09,25716,25716,LATE,15
R00000141,L0000039,C000026,2026-03-20,2026-03-25,18590,18590,LATE,5
R00000142,L0001177,C000755,2025-07-03,2025-10-01,16343,4085,OVERDUE,90
R00000143,L0002048,C000384,2023-12-01,2023-12-01,6298,6298,ON_TIME,0
R00000144,L0001552,C000036,2025-01-03,2025-01-03,44946,44946,ON_TIME,0
R00000145,L0001001,C000903,2024-11-30,2024-11-30,37977,37977,ON_TIME,0
R00000146,L0000429,C000198,2024-08-16,2024-12-14,45428,11357,OVERDUE,120
R00000147,L0001349,C000190,2024-06-27,2024-06-27,35692,35692,ON_TIME,0
R00000148,L0001754,C000004,2025-10-15,2025-10-15,19541,19541,ON_TIME,0
R00000149,L0000324,C000515,2023-09-20,2023-09-20,21442,21442,ON_TIME,0
R00000150,L0002074,C000709,2024-03-25,2024-03-30,16984,16984,LATE,5
R00000151,L0001133,C000539,2026-01-14,2026-01-19,25145,25145,LATE,5
R00000152,L0000845,C000307,2025-03-11,2025-03-16,30112,30112,LATE,5
R00000153,L0001607,C000040,2023-12-30,2024-01-04,29295,29295,LATE,5
R00000154,L0000223,C000120,2023-11-25,2023-12-25,16144,16144,LATE,30
R00000155,L0002487,C000745,2025-06-26,2025-06-26,27666,27666,ON_TIME,0
R00000156,L0001111,C000056,2025-10-03,2025-11-02,35920,35920,LATE,30
R00000157,L0001604,C000384,2026-02-23,2026-02-23,12109,12109,ON_TIME,0
R00000158,L0000350,C000194,2025-01-10,2025-01-10,45450,45450,ON_TIME,0
R00000159,L0000204,C000731,2026-02-11,2026-03-13,32982,32982,LATE,30
R00000160,L0001993,C000767,2025-08-19,2025-08-19,32867,32867,ON_TIME,0
R00000161,L0000508,C000759,2025-02-22,2025-02-22,35285,35285,ON_TIME,0
R00000162,L0001354,C000417,2025-04-25,2025-06-24,21053,21053,LATE,60
R00000163,L0000040,C000421,2025-09-24,2025-09-24,44627,44627,ON_TIME,0
R00000164,L0000785,C000643,2026-04-14,2026-04-14,41982,41982,ON_TIME,0
R00000165,L0001989,C000335,2024-04-10,2024-04-15,45049,45049,LATE,5
R00000166,L0000103,C000377,2024-04-19,2024-05-19,18503,18503,LATE,30
R00000167,L0000804,C000358,2025-11-09,2025-11-09,49762,49762,ON_TIME,0
R00000168,L0001366,C000378,2026-06-01,2026-06-01,41129,41129,ON_TIME,0
R00000169,L0000070,C000737,2025-09-02,2025-09-07,37099,37099,LATE,5
R00000170,L0000897,C000331,2025-08-15,2025-08-15,3558,3558,ON_TIME,0
R00000171,L0001735,C000474,2026-07-19,2026-08-03,22027,22027,LATE,15
R00000172,L0000707,C000830,2025-08-14,2025-08-14,5904,5904,ON_TIME,0
R00000173,L0002384,C000128,2024-05-05,2024-05-05,49233,49233,ON_TIME,0
R00000174,L0001313,C000600,2025-02-03,2025-02-03,13460,13460,ON_TIME,0
R00000175,L0000883,C000113,2024-02-02,2024-02-02,28272,28272,ON_TIME,0
R00000176,L0001875,C000512,2026-05-14,2026-05-14,2536,2536,ON_TIME,0
R00000177,L0001946,C000257,2026-07-15,2026-07-15,14915,14915,ON_TIME,0
R00000178,L0001617,C000757,2026-05-12,2026-05-12,41551,41551,ON_TIME,0
R00000179,L0002057,C000732,2025-06-14,2025-06-29,39168,39168,LATE,15
R00000180,L0000093,C000234,2025-05-10,2025-05-10,32634,32634,ON_TIME,0
R00000181,L0002279,C000756,2024-09-12,2024-09-12,34114,34114,ON_TIME,0
R00000182,L0002015,C000341,2025-05-23,2025-07-22,40685,40685,LATE,60
R00000183,L0000393,C000533,2025-02-24,2025-02-24,43611,43611,ON_TIME,0
R00000184,L0001543,C000572,2026-01-04,2026-01-19,24633,24633,LATE,15
R00000185,L0000809,C000350,2023-11-27,2023-12-02,46933,46933,LATE,5
R00000186,L0002219,C000647,2026-07-24,2026-07-24,38846,38846,ON_TIME,0
R00000187,L0000577,C000556,2025-08-05,2025-10-04,6157,6157,LATE,60
R00000188,L0000280,C000967,2024-11-20,2024-11-20,23959,23959,ON_TIME,0
R00000189,L0001401,C000364,2026-06-16,2026-06-21,25013,25013,LATE,5
R00000190,L0001191,C000861,2024-02-01,2024-02-01,4519,4519,ON_TIME,0
R00000191,L0000629,C000297,2024-05-31,2024-06-05,47162,47162,LATE,5
R00000192,L0001759,C000669,2023-10-25,2023-10-30,2318,2318,LATE,5
R00000193,L0001765,C000485,2026-02-21,2026-02-21,24511,24511,ON_TIME,0
R00000194,L0000122,C000129,2026-05-22,2026-05-22,14123,14123,ON_TIME,0
R00000195,L0000655,C000608,2025-01-08,2025-04-08,8174,2043,OVERDUE,90
R00000196,L0002311,C000855,2026-02-04,2026-02-04,16875,16875,ON_TIME,0
R00000197,L0001147,C000949,2026-06-15,2026-08-14,11127,11127,LATE,60
R00000198,L0000690,C000348,2024-03-27,2024-05-26,41100,41100,LATE,60
R00000199,L0002387,C000557,2026-06-13,2026-06-13,46812,46812,ON_TIME,0
R00000200,L0002345,C000709,2026-02-01,2026-02-06,46862,46862,LATE,5
R00000201,L0000964,C000889,2024-01-27,2024-01-27,16666,16666,ON_TIME,0
R00000202,L0001996,C000976,2024-07-11,2024-07-26,42661,42661,LATE,15
R00000203,L0000539,C000819,2026-05-05,2026-06-04,23666,23666,LATE,30
R00000204,L0000360,C000381,2026-01-05,2026-01-05,49287,49287,ON_TIME,0
R00000205,L0001900,C000723,2026-03-01,2026-03-16,8590,8590,LATE,15
R00000206,L0000324,C000515,2023-12-08,2023-12-08,17663,17663,ON_TIME,0
R00000207,L0001291,C000106,2026-02-18,2026-02-23,39755,39755,LATE,5
R00000208,L0002133,C000103,2025-12-05,2025-12-05,12935,12935,ON_TIME,0
R00000209,L0001177,C000755,2024-07-07,2024-07-07,14101,14101,ON_TIME,0
R00000210,L0001676,C000620,2025-09-25,2025-11-24,19314,19314,LATE,60
R00000211,L0001950,C000134,2025-11-05,2025-11-05,30451,30451,ON_TIME,0
R00000212,L0000497,C000734,2023-10-15,2023-11-14,26923,26923,LATE,30
R00000213,L0002437,C000478,2024-03-21,2024-05-20,45767,45767,LATE,60
R00000214,L0001583,C000281,2026-07-05,2026-07-05,47344,47344,ON_TIME,0
R00000215,L0000324,C000515,2025-12-21,2025-12-21,25820,25820,ON_TIME,0
R00000216,L0001377,C000559,2024-06-22,2024-06-22,36637,36637,ON_TIME,0
R00000217,L0001178,C000716,2023-10-16,2023-10-16,48852,48852,ON_TIME,0
R00000218,L0000042,C000045,2024-11-17,2024-11-22,24843,24843,LATE,5
R00000219,L0002041,C000739,2024-08-01,2024-08-01,7259,7259,ON_TIME,0
R00000220,L0000878,C000150,2024-10-02,2024-10-02,30271,30271,ON_TIME,0
R00000221,L0000836,C000419,2026-03-05,2026-07-03,41559,20779,OVERDUE,120
R00000222,L0001660,C000312,2025-08-07,2025-08-07,17214,17214,ON_TIME,0
R00000223,L0000389,C000705,2024-01-26,2024-01-26,7137,7137,ON_TIME,0
R00000224,L0000808,C000123,2025-12-23,2025-12-23,21951,21951,ON_TIME,0
R00000225,L0000075,C000293,2026-04-16,2026-04-16,25427,25427,ON_TIME,0
R00000226,L0001092,C000020,2025-01-26,2025-01-26,46843,46843,ON_TIME,0
R00000227,L0001932,C000863,2025-06-02,2025-06-02,31737,31737,ON_TIME,0
R00000228,L0000265,C000455,2026-03-19,2026-03-24,29386,29386,LATE,5
R00000229,L0001844,C000589,2023-11-25,2023-11-25,14220,14220,ON_TIME,0
R00000230,L0001186,C000165,2025-10-19,2025-10-19,9055,9055,ON_TIME,0
R00000231,L0001622,C000644,2023-10-23,2023-10-23,15093,15093,ON_TIME,0
R00000232,L0001138,C000916,2025-02-26,2025-02-26,18395,18395,ON_TIME,0
R00000233,L0001346,C000061,2025-07-26,2025-07-26,11201,11201,ON_TIME,0
R00000234,L0000979,C000179,2024-06-23,2024-07-23,45764,45764,LATE,30
R00000235,L0001075,C000762,2025-06-22,2025-06-22,33170,33170,ON_TIME,0
R00000236,L0001551,C000884,2023-10-24,2023-10-24,29733,29733,ON_TIME,0
R00000237,L0002452,C000273,2025-12-15,2025-12-30,12930,12930,LATE,15
R00000238,L0000297,C000218,2025-01-22,2025-02-06,18864,18864,LATE,15
R00000239,L0002471,C000920,2025-05-02,2025-07-01,13390,13390,LATE,60
R00000240,L0001882,C000336,2024-10-20,2024-11-04,3883,3883,LATE,15
R00000241,L0001426,C000690,2024-02-05,2024-02-05,36453,36453,ON_TIME,0
R00000242,L0001660,C000312,2024-03-13,2024-03-13,44926,44926,ON_TIME,0
R00000243,L0002098,C000706,2024-02-18,2024-02-18,12471,12471,ON_TIME,0
R00000244,L0000404,C000278,2026-01-05,2026-01-05,42726,42726,ON_TIME,0
R00000245,L0000978,C000983,2024-06-04,2024-09-02,29780,14890,OVERDUE,90
R00000246,L0002346,C000917,2024-12-03,2024-12-03,41551,41551,ON_TIME,0
R00000247,L0001901,C000695,2024-04-27,2024-05-27,17761,17761,LATE,30
R00000248,L0000431,C000350,2024-06-26,2024-06-26,17392,17392,ON_TIME,0
R00000249,L0001773,C000994,2024-10-17,2024-12-16,41171,41171,LATE,60
R00000250,L0000427,C000879,2024-02-03,2024-02-03,6833,6833,ON_TIME,0
R00000251,L0001699,C000852,2024-05-13,2024-05-13,34379,34379,ON_TIME,0
R00000252,L0001833,C000435,2025-01-05,2025-04-05,22366,5591,OVERDUE,90
R00000253,L0000354,C000821,2025-06-10,2025-06-10,23622,23622,ON_TIME,0
R00000254,L0000673,C000218,2026-08-06,2026-08-21,40677,40677,LATE,15
R00000255,L0000692,C000099,2024-06-05,2024-06-05,10194,10194,ON_TIME,0
R00000256,L0001346,C000061,2023-12-17,2024-02-15,48130,48130,LATE,60
R00000257,L0000587,C000954,2026-04-28,2026-05-13,30882,30882,LATE,15
R00000258,L0001985,C000747,2025-02-03,2025-02-03,8550,8550,ON_TIME,0
R00000259,L0002077,C000419,2024-06-24,2024-09-22,16110,4027,OVERDUE,90
R00000260,L0002407,C000097,2023-10-29,2023-11-13,36800,36800,LATE,15
R00000261,L0002271,C000289,2023-12-16,2024-02-14,36772,36772,LATE,60
R00000262,L0000128,C000054,2024-12-22,2025-03-22,22222,11111,OVERDUE,90
R00000263,L0000460,C000377,2025-05-14,2025-05-14,7927,7927,ON_TIME,0
R00000264,L0002002,C000499,2024-02-17,2024-02-22,44612,44612,LATE,5
R00000265,L0002069,C000658,2025-01-26,2025-01-26,11519,11519,ON_TIME,0
R00000266,L0001755,C000655,2024-04-25,2024-04-25,17878,17878,ON_TIME,0
R00000267,L0000966,C000075,2025-06-19,2025-06-19,26003,26003,ON_TIME,0
R00000268,L0002306,C000528,2025-02-01,2025-02-01,46533,46533,ON_TIME,0
R00000269,L0002498,C000953,2024-10-21,2024-10-21,13514,13514,ON_TIME,0
R00000270,L0001118,C000426,2025-04-22,2025-05-07,17567,17567,LATE,15
R00000271,L0002020,C000125,2024-03-22,2024-03-22,18734,18734,ON_TIME,0
R00000272,L0000752,C000784,2023-12-06,2023-12-06,25711,25711,ON_TIME,0
R00000273,L0001160,C000798,2024-07-27,2024-08-11,30938,30938,LATE,15
R00000274,L0000856,C000586,2024-09-23,2024-09-23,14111,14111,ON_TIME,0
R00000275,L0000079,C000732,2026-04-01,2026-04-06,6189,6189,LATE,5
R00000276,L0002270,C000858,2026-03-15,2026-03-15,23707,23707,ON_TIME,0
R00000277,L0001650,C000805,2024-09-18,2024-09-18,3591,3591,ON_TIME,0
R00000278,L0000011,C000823,2025-10-21,2025-11-05,43203,43203,LATE,15
R00000279,L0001297,C000089,2025-11-15,2025-11-15,7575,7575,ON_TIME,0
R00000280,L0000563,C000367,2025-11-08,2025-11-08,48350,48350,ON_TIME,0
R00000281,L0000090,C000472,2025-05-07,2025-05-07,21605,21605,ON_TIME,0
R00000282,L0001143,C000222,2024-03-13,2024-03-13,42307,42307,ON_TIME,0
R00000283,L0000501,C000008,2024-11-08,2024-11-08,7541,7541,ON_TIME,0
R00000284,L0001189,C000272,2023-12-20,2024-02-18,46936,46936,LATE,60
R00000285,L0001269,C000750,2025-01-23,2025-01-28,12274,12274,LATE,5
R00000286,L0001993,C000767,2025-09-08,2025-09-13,40355,40355,LATE,5
R00000287,L0001289,C000547,2026-01-23,2026-01-23,9779,9779,ON_TIME,0
R00000288,L0001629,C000598,2025-06-10,2025-06-15,9025,9025,LATE,5
R00000289,L0000326,C000736,2023-12-27,2023-12-27,28738,28738,ON_TIME,0
R00000290,L0000586,C000083,2025-10-08,2025-10-08,40308,40308,ON_TIME,0
R00000291,L0001507,C000486,2023-10-31,2023-10-31,46115,46115,ON_TIME,0
R00000292,L0000066,C000736,2025-06-11,2025-09-09,41646,0,OVERDUE,90
R00000293,L0001039,C000307,2026-05-28,2026-05-28,24264,24264,ON_TIME,0
R00000294,L0000100,C000704,2024-09-14,2024-10-14,31616,31616,LATE,30
R00000295,L0000073,C000869,2023-10-15,2023-10-15,12598,12598,ON_TIME,0
R00000296,L0002295,C000807,2024-11-08,2024-11-08,30007,30007,ON_TIME,0
R00000297,L0001620,C000031,2026-01-24,2026-01-24,42264,42264,ON_TIME,0
R00000298,L0001881,C000125,2026-03-15,2026-03-15,5511,5511,ON_TIME,0
R00000299,L0000038,C000234,2026-07-31,2026-08-15,34058,34058,LATE,15
R00000300,L0002344,C000293,2024-02-21,2024-02-21,42537,42537,ON_TIME,0
R00000301,L0000470,C000698,2024-10-03,2024-10-03,8419,8419,ON_TIME,0
R00000302,L0001917,C000424,2026-01-25,2026-01-30,18134,18134,LATE,5
R00000303,L0001695,C000893,2026-06-25,2026-06-25,6949,6949,ON_TIME,0
R00000304,L0001983,C000538,2024-03-30,2024-04-14,31009,31009,LATE,15
R00000305,L0000132,C000229,2025-01-02,2025-01-02,32179,32179,ON_TIME,0
R00000306,L0001788,C000485,2026-02-15,2026-02-15,33722,33722,ON_TIME,0
R00000307,L0000648,C000896,2025-06-09,2025-06-09,3763,3763,ON_TIME,0
R00000308,L0000014,C000344,2025-08-09,2025-08-09,39019,39019,ON_TIME,0
R00000309,L0001445,C000060,2024-01-25,2024-01-25,31571,31571,ON_TIME,0
R00000310,L0001638,C000294,2026-05-31,2026-05-31,30971,30971,ON_TIME,0
R00000311,L0000035,C000785,2025-11-02,2025-11-07,24692,24692,LATE,5
R00000312,L0000860,C000413,2024-07-29,2024-08-28,42550,42550,LATE,30
R00000313,L0002344,C000293,2024-04-25,2024-05-25,7306,7306,LATE,30
R00000314,L0002057,C000732,2025-04-18,2025-04-18,14877,14877,ON_TIME,0
R00000315,L0001652,C000764,2026-01-03,2026-01-03,19967,19967,ON_TIME,0
R00000316,L0000566,C000564,2024-06-04,2024-06-04,2678,2678,ON_TIME,0
R00000317,L0001094,C000008,2024-10-01,2024-10-31,13637,13637,LATE,30
R00000318,L0001211,C000928,2025-12-30,2025-12-30,44349,44349,ON_TIME,0
R00000319,L0001454,C000743,2025-07-06,2025-07-06,36127,36127,ON_TIME,0
R00000320,L0000676,C000747,2026-01-26,2026-01-26,34398,34398,ON_TIME,0
R00000321,L0001719,C000904,2025-08-18,2025-08-23,4242,4242,LATE,5
R00000322,L0002181,C000414,2023-11-20,2024-01-19,22295,22295,LATE,60
R00000323,L0002384,C000128,2023-09-18,2023-09-23,5623,5623,LATE,5
R00000324,L0001544,C000109,2025-09-07,2025-09-07,22723,22723,ON_TIME,0
R00000325,L0000519,C000187,2026-05-08,2026-05-08,31660,31660,ON_TIME,0
R00000326,L0000496,C000607,2024-12-09,2024-12-24,5095,5095,LATE,15
R00000327,L0001435,C000953,2026-06-27,2026-06-27,5114,5114,ON_TIME,0
R00000328,L0000932,C000753,2024-06-03,2024-06-03,41622,41622,ON_TIME,0
R00000329,L0001368,C000954,2023-09-17,2023-10-02,15481,15481,LATE,15
R00000330,L0001031,C000471,2023-12-19,2023-12-19,46881,46881,ON_TIME,0
R00000331,L0001737,C000119,2025-10-05,2025-10-10,46526,46526,LATE,5
R00000332,L0002084,C000009,2024-11-14,2024-11-14,42988,42988,ON_TIME,0
