credit_id,customer_id,credit_score,total_accounts,active_accounts,overdue_accounts,credit_utilization,record_date
CR0000241,C000168,431,10,10,0,0.89,2026-01-26
CR0000242,C000412,755,2,8,1,0.47,2024-09-16
CR0000243,C000324,878,7,8,5,0.7,2026-09-10
CR0000244,C000283,559,10,1,5,0.52,2024-10-15
CR0000245,C000697,478,15,7,2,0.82,2026-02-14
CR0000246,C000912,340,5,9,2,0.43,2025-07-16
CR0000247,C000442,458,14,1,1,0.48,2025-04-10
CR0000248,C000106,555,1,6,5,0.78,2025-01-11
CR0000249,C000432,480,13,6,0,0.32,2026-03-13
CR0000250,C000506,528,6,10,4,0.81,2025-05-30
CR0000251,C000385,534,12,7,5,0.9,2026-08-19
CR0000252,C000008,418,2,2,1,0.17,2025-07-16
CR0000253,C000519,876,1,7,3,0.38,2025-12-06
CR0000254,C000278,740,1,8,5,0.38,2024-09-18
CR0000255,C000532,856,2,6,3,0.08,2025-10-21
CR0000256,C000585,746,9,6,0,0.11,2026-03-19
CR0000257,C000980,569,15,10,2,0.48,2026-09-16
CR0000258,C000220,819,15,3,1,0.16,2026-05-07
CR0000259,C000320,465,2,9,1,0.65,2025-10-02
CR0000260,C000290,756,11,8,2,0.55,2025-09-22
CR0000261,C000440,789,2,10,1,0.57,2025-08-20
CR0000262,C000210,418,9,0,1,0.23,2025-07-26
CR0000263,C000166,607,3,6,0,0.38,2026-07-03
CR0000264,C000547,822,13,0,0,0.52,2026-04-04
CR0000265,C000277,572,10,8,0,0.32,2026-05-15
CR0000266,C000787,440,6,3,3,0.77,2026-06-08
CR0000267,C000163,493,11,7,3,0.48,2026-05-19
CR0000268,C000961,401,3,6,4,0.62,2024-11-09
CR0000269,C000396,854,14,1,1,0.65,2025-11-09
CR0000270,C000070,822,3,1,3,0.51,2025-03-10
CR0000271,C000596,374,10,2,1,0.61,2024-09-18
CR0000272,C000390,723,14,10,2,0.89,2025-07-11
CR0000273,C000110,568,7,0,3,0.09,2026-03-05
CR0000274,C000575,628,13,6,0,0.22,2026-06-13
CR0000275,C000014,682,7,7,4,0.8,2026-05-14
CR0000276,C000680,530,12,2,3,0.6,2025-09-25
CR0000277,C000126,821,15,6,5,0.83,2024-12-19
CR0000278,C000053,461,4,9,4,0.31,2025-11-30
CR0000279,C000126,376,7,9,0,0.43,2025-11-05
CR0000280,C000767,875,2,2,5,0.09,2026-09-12
CR0000281,C000086,584,7,4,3,0.64,2025-06-21
CR0000282,C000671,649,5,8,4,0.34,2025-06-01
CR0000283,C000163,615,14,7,4,0.49,2026-02-27
CR0000284,C000084,873,15,10,4,0.59,2025-05-09
CR0000285,C000013,887,3,7,2,0.13,2025-07-24
CR0000286,C000319,801,6,8,4,0.6,2024-10-28
CR0000287,C000410,364,5,10,2,0.89,2026-01-20
CR0000288,C000213,595,10,8,1,0.33,2026-01-31
CR0000289,C000605,631,15,3,4,0.22,2024-11-25
CR0000290,C000324,613,4,5,4,0.66,2025-06-26
CR0000291,C000835,585,5,9,3,0.65,2025-11-05
CR0000292,C000202,492,13,9,1,0.77,2026-07-10
CR0000293,C000581,602,4,10,5,0.38,2025-06-07
CR0000294,C000744,855,9,5,1,0.77,2024-11-17
CR0000295,C000382,895,9,2,0,0.7,2026-07-01
CR0000296,C000475,598,11,3,1,0.59,2025-09-08
CR0000297,C000632,645,3,10,3,0.39,2026-04-29
CR0000298,C000844,701,8,4,4,0.46,2026-05-04
CR0000299,C000202,649,3,4,4,0.11,2025-04-29
CR0000300,C000261,427,7,8,3,0.05,2026-02-01
CR0000301,C000440,493,13,4,3,0.46,2025-02-20
CR0000302,C000705,863,10,4,4,0.56,2025-01-31
CR0000303,C000104,503,5,0,3,0.62,2025-11-20
CR0000304,C000230,801,10,1,3,0.44,2024-10-16
CR0000305,C000939,620,2,2,1,0.16,2025-07-11
CR0000306,C000779,355,1,1,2,0.15,2026-02-11
CR0000307,C000794,848,5,2,0,0.88,2025-02-11
CR0000308,C000882,733,4,0,5,0.56,2025-05-06
CR0000309,C000641,310,2,5,4,0.7,2026-03-10
CR0000310,C000731,591,7,3,1,0.25,2025-07-16
CR0000311,C000986,884,13,4,4,0.37,2026-08-13
CR0000312,C000673,542,3,0,4,0.58,2024-12-07
CR0000313,C000007,525,3,6,1,0.54,2026-01-18
CR0000314,C000646,317,3,1,4,0.72,2026-03-05
CR0000315,C000805,576,13,7,0,0.14,2025-06-22
CR0000316,C000575,716,4,3,3,0.6,2025-09-28
CR0000317,C000059,477,15,3,2,0.15,2024-11-20
CR0000318,C000529,544,11,4,3,0.57,2026-08-04
CR0000319,C000365,695,8,3,1,0.14,2026-01-20
CR0000320,C000682,383,7,7,3,0.19,2025-08-22
CR0000321,C000344,693,14,9,3,0.07,2026-04-10
CR0000322,C000920,578,4,10,3,0.44,2025-02-10
CR0000323,C000800,836,6,5,0,0.5,2025-01-02
CR0000324,C000381,697,14,7,4,0.23,2024-10-13
CR0000325,C000313,447,12,1,4,0.8,2025-02-12
CR0000326,C000719,686,3,6,1,0.25,2024-10-05
CR0000327,C000644,661,7,4,1,0.69,2026-03-29
CR0000328,C000451,536,7,9,3,0.91,2025-12-20
CR0000329,C000284,876,4,10,5,0.11,2025-03-20
CR0000330,C000310,322,7,9,2,0.37,2025-09-30
CR0000331,C000560,320,8,6,5,0.45,2025-07-14
CR0000332,C000876,734,2,6,2,0.36,2024-11-03
CR0000333,C000019,575,6,4,3,0.19,2026-05-24
CR0000334,C000064,524,14,9,5,0.52,2025-11-09
CR0000335,C000209,843,13,3,0,0.93,2026-01-28
CR0000336,C000345,673,1,3,0,0.69,2025-05-13
CR0000337,C000235,462,2,9,5,0.55,2025-10-09
CR0000338,C000694,556,2,8,2,0.46,2025-11-04
CR0000339,C000431,600,3,6,2,0.83,2026-06-25
CR0000340,C000752,490,4,6,2,0.2,2026-06-08
CR0000341,C000393,368,4,1,4,0.1,2025-08-30
CR0000342,C000659,480,5,8,3,0.9,2024-09-28
CR0000343,C000312,471,4,0,1,0.59,2024-10-14
CR0000344,C000482,378,2,1,2,0.79,2025-06-06
CR0000345,C000795,483,9,1,3,0.55,2024-10-29
CR0000346,C000544,677,12,2,1,0.53,2025-06-05
CR0000347,C000392,491,4,0,2,0.82,2026-05-20
CR0000348,C000149,578,9,0,4,0.5,2026-03-30
CR0000349,C000449,358,7,2,1,0.09,2024-10-19
CR0000350,C000735,459,14,2,1,0.83,2025-07-27
CR0000351,C000518,676,10,4,3,0.27,2024-12-16
CR0000352,C000275,479,12,1,5,0.27,2025-02-27
CR0000353,C000329,343,2,6,1,0.05,2026-06-04
CR0000354,C000905,771,9,7,5,0.73,2026-02-05
CR0000355,C000928,863,9,6,4,0.47,2026-02-16
CR0000356,C000027,832,6,9,4,0.7,2025-10-27
CR0000357,C000999,714,13,4,4,0.89,2025-09-07
CR0000358,C000089,470,9,7,1,0.77,2026-09-16
CR0000359,C000156,511,2,9,2,0.81,2026-02-24
CR0000360,C000251,418,10,6,3,0.39,2026-07-23
CR0000361,C000962,682,1,5,3,0.23,2026-07-27
CR0000362,C000927,316,4,6,5,0.73,2025-11-06
CR0000363,C000837,760,14,9,5,0.18,2025-01-09
CR0000364,C000771,609,7,3,1,0.06,2026-04-14
CR0000365,C000704,532,15,7,2,0.49,2025-12-09
CR0000366,C000648,777,12,7,2,0.84,2025-03-15
CR0000367,C000060,774,3,6,0,0.27,2026-09-04
CR0000368,C000930,449,15,10,0,0.32,2024-11-10
CR0000369,C000143,354,6,7,3,0.85,2024-10-14
CR0000370,C000893,743,2,9,2,0.37,2026-04-10
CR0000371,C000960,824,9,7,0,0.89,2025-01-03
CR0000372,C000055,790,2,5,2,0.22,2025-09-30
CR0000373,C000837,818,3,0,0,0.18,2026-02-05
CR0000374,C000244,875,5,0,0,0.51,2024-09-30
CR0000375,C000498,833,6,0,3,0.41,2025-09-17
CR0000376,C000722,771,6,9,2,0.31,2026-08-21
CR0000377,C000785,352,13,8,4,0.16,2026-08-30
CR0000378,C000908,748,13,7,3,0.74,2026-01-09
CR0000379,C000003,337,11,8,5,0.72,2024-10-21
CR0000380,C000282,818,2,2,3,0.35,2025-03-23
CR0000381,C000600,750,12,10,2,0.18,2026-03-14
CR0000382,C000192,501,2,9,3,0.3,2026-02-01
CR0000383,C000490,525,1,0,2,0.06,2024-12-26
CR0000384,C000055,436,4,6,4,0.22,2024-09-27
CR0000385,C000914,455,7,8,4,0.28,2025-01-27
CR0000386,C000444,515,1,1,1,0.82,2026-01-20
CR0000387,C000634,571,12,7,0,0.25,2024-10-24
CR0000388,C000515,469,15,10,3,0.15,2026-08-19
CR0000389,C000947,770,13,5,4,0.71,2025-05-12
CR0000390,C000996,681,14,7,2,0.57,2026-06-15
CR0000391,C000753,861,15,5,5,0.65,2026-05-25
CR0000392,C000424,839,3,10,5,0.8,2024-11-30
CR0000393,C000409,832,11,4,4,0.75,2025-09-05
CR0000394,C000268,551,4,0,3,0.49,2026-01-03
CR0000395,C000838,636,9,4,3,0.93,2025-01-26
CR0000396,C000843,714,1,9,2,0.77,2026-06-26
CR0000397,C000151,563,2,2,4,0.25,2025-12-19
CR0000398,C000031,524,15,3,3,0.86,2024-11-04
CR0000399,C000413,400,12,8,4,0.38,2026-06-13
CR0000400,C000491,709,7,9,2,0.32,2026-06-12
CR0000401,C000535,548,3,9,3,0.9,2024-12-07
CR0000402,C000533,367,13,5,0,0.44,2024-12-13
CR0000403,C000660,742,3,6,3,0.93,2025-10-07
CR0000404,C000042,641,6,1,2,0.26,2025-12-22
CR0000405,C000110,803,15,6,4,0.24,2026-05-29
CR0000406,C000485,740,14,3,2,0.27,2026-01-07
CR0000407,C000349,468,6,2,4,0.34,2025-03-06
CR0000408,C000495,685,14,1,0,0.12,2024-11-04
CR0000409,C000722,308,3,8,3,0.49,2026-06-02
CR0000410,C000318,394,15,10,1,0.94,2025-02-20
CR0000411,C000171,302,8,2,0,0.17,2025-08-13
CR0000412,C000075,675,11,10,5,0.37,2025-06-05
CR0000413,C000845,885,2,0,1,0.85,2026-06-08
CR0000414,C000708,638,2,0,4,0.12,2026-06-27
CR0000415,C000608,340,10,0,1,0.76,2026-04-12
CR0000416,C000158,700,14,7,0,0.29,2026-02-24
CR0000417,C000639,598,10,8,0,0.8,2025-07-25
CR0000418,C000067,591,3,1,3,0.6,2025-05-25
CR0000419,C000881,566,3,10,5,0.51,2024-12-18
CR0000420,C000584,808,10,3,5,0.31,2026-03-01
CR0000421,C000886,702,14,5,5,0.2,2025-12-07
CR0000422,C000892,784,13,7,2,0.91,2025-11-14
CR0000423,C000378,613,5,10,5,0.78,2024-12-31
CR0000424,C000570,728,13,3,2,0.65,2025-05-23
CR0000425,C000535,515,4,7,1,0.68,2026-06-27
CR0000426,C000432,337,2,0,4,0.84,2026-05-25
CR0000427,C000205,451,2,7,1,0.18,2025-02-28
CR0000428,C000156,375,5,5,5,0.34,2026-05-02
CR0000429,C000052,544,12,7,3,0.42,2024-10-21
CR0000430,C000163,865,12,9,2,0.89,2025-12-20
CR0000431,C000635,514,15,7,5,0.08,2025-01-28
CR0000432,C000004,460,7,3,2,0.11,2025-06-03
CR0000433,C000325,332,14,4,3,0.22,2024-11-04
CR0000434,C000664,809,8,10,3,0.76,2024-12-18
CR0000435,C000520,631,8,2,2,0.72,2025-04-16
CR0000436,C000355,732,11,5,4,0.83,2025-01-03
CR0000437,C000755,488,1,2,2,0.42,2026-04-27
CR0000438,C000595,798,15,5,1,0.09,2025-08-04
CR0000439,C000445,443,4,8,4,0.5,2025-01-24
CR0000440,C000918,584,15,3,5,0.21,2026-03-10
CR0000441,C000950,339,13,0,5,0.37,2025-06-30
CR0000442,C000970,651,13,9,2,0.35,2025-11-19
CR0000443,C000643,407,8,8,1,0.24,2025-01-22
CR0000444,C000860,640,11,10,5,0.72,2025-08-22
CR0000445,C000360,580,9,6,4,0.94,2025-03-24
CR0000446,C000089,501,7,0,3,0.92,2026-09-04
CR0000447,C000254,860,5,8,3,0.09,2025-12-12
CR0000448,C000520,640,1,6,4,0.61,2024-10-17
CR0000449,C000287,364,8,6,3,0.87,2024-12-28
CR0000450,C000250,885,4,5,4,0.25,2024-12-02
CR0000451,C000470,571,5,10,0,0.79,2026-05-23
CR0000452,C000752,893,5,6,2,0.05,2026-07-06
CR0000453,C000086,534,1,3,3,0.27,2026-01-20
CR0000454,C000450,302,7,0,0,0.77,2026-01-04
CR0000455,C000341,580,9,8,3,0.06,2025-07-05
CR0000456,C000048,613,13,9,5,0.1,2026-05-13
CR0000457,C000720,894,4,8,5,0.55,2025-01-16
CR0000458,C000286,418,14,3,3,0.55,2024-09-28
CR0000459,C000428,636,3,8,5,0.23,2026-07-31
CR0000460,C000076,739,2,5,5,0.27,2025-09-29
CR0000461,C000766,791,1,1,1,0.89,2024-11-17
CR0000462,C000665,564,3,10,2,0.65,2024-09-20
CR0000463,C000906,725,3,6,1,0.71,2024-09-21
CR0000464,C000396,670,2,4,2,0.95,2025-02-02
CR0000465,C001000,861,11,1,0,0.93,2026-09-05
CR0000466,C000216,424,14,0,1,0.11,2024-11-24
CR0000467,C000394,576,3,1,3,0.35,2026-03-18
CR0000468,C000251,812,13,8,3,0.51,2026-02-04
CR0000469,C000200,792,11,9,2,0.76,2025-12-21
CR0000470,C000412,664,13,1,2,0.21,2026-08-05
CR0000471,C000420,493,9,4,5,0.07,2025-04-24
CR0000472,C000382,388,2,2,1,0.36,2025-08-05
CR0000473,C000140,834,14,8,1,0.48,2026-03-08
CR0000474,C000985,659,1,5,3,0.76,2026-06-05
CR0000475,C000430,742,2,8,3,0.24,2026-05-24
CR0000476,C000598,494,10,10,3,0.75,2026-05-09
CR0000477,C000428,368,12,3,5,0.89,2025-09-20
CR0000478,C000154,806,9,7,3,0.34,2026-03-07
CR0000479,C000613,677,4,0,0,0.46,2024-12-23
