loan_id,customer_id,product_id,branch_id,application_date,approval_date,disbursement_date,loan_amount,interest_rate,tenure_months,loan_status
L0000031,C000532,LP005,BR001,2023-07-25,2023-07-31,2023-08-03,346053,12.0,20,ACTIVE
L0000032,C000147,LP004,BR004,2025-09-04,2025-09-06,2025-09-08,381826,16.0,50,ACTIVE
L0000033,C000989,LP004,BR002,2024-04-11,2024-04-17,2024-04-20,1628403,16.0,65,DEFAULT
L0000034,C000146,LP005,BR003,2026-02-19,2026-02-21,2026-02-23,483173,12.0,18,ACTIVE
L0000035,C000785,LP004,BR008,2025-01-31,2025-02-08,2025-02-13,1918627,16.0,59,ACTIVE
L0000036,C000706,LP001,BR002,2022-07-30,2022-08-08,2022-08-10,84402,14.5,31,DEFAULT
L0000037,C000557,LP001,BR010,2021-10-08,2021-10-15,2021-10-17,459215,14.5,45,DEFAULT
L0000038,C000234,LP004,BR007,2026-01-22,2026-01-23,2026-01-25,504254,16.0,118,CLOSED
L0000039,C000026,LP002,BR004,2024-11-21,2024-11-22,2024-11-24,169355,10.5,70,ACTIVE
L0000040,C000421,LP005,BR005,2026-06-26,2026-07-02,2026-07-04,307286,12.0,23,ACTIVE
L0000041,C000091,LP005,BR004,2024-02-11,2024-02-20,2024-02-24,686275,12.0,15,ACTIVE
L0000042,C000045,LP002,BR004,2024-03-31,2024-04-04,2024-04-07,1125060,10.5,69,CLOSED
L0000043,C000668,LP005,BR010,2022-08-17,2022-08-25,2022-08-30,598115,12.0,23,ACTIVE
L0000044,C000839,LP004,BR004,2025-10-21,2025-10-24,2025-10-27,1670685,16.0,118,ACTIVE
L0000045,C000726,LP005,BR003,2022-04-02,2022-04-07,2022-04-08,425343,12.0,13,CLOSED
L0000046,C000433,LP005,BR002,2024-07-26,2024-08-05,2024-08-07,918746,12.0,19,CLOSED
L0000047,C000031,LP005,BR009,2024-01-23,2024-01-27,2024-01-30,703238,12.0,25,DEFAULT
L0000048,C000166,LP002,BR008,2024-06-22,2024-06-23,2024-06-24,1094253,10.5,28,CLOSED
L0000049,C000124,LP004,BR005,2024-01-24,2024-02-03,2024-02-04,569279,16.0,44,DEFAULT
L0000050,C000282,LP003,BR004,2023-12-06,2023-12-11,2023-12-14,4055149,8.5,108,ACTIVE
L0000051,C000724,LP002,BR004,2024-04-01,2024-04-09,2024-04-12,557617,10.5,71,ACTIVE
L0000052,C000454,LP002,BR010,2023-04-24,2023-05-03,2023-05-08,932889,10.5,25,ACTIVE
L0000053,C000040,LP002,BR005,2022-12-25,2023-01-03,2023-01-06,1277460,10.5,48,ACTIVE
L0000054,C000933,LP002,BR002,2026-02-09,2026-02-11,2026-02-15,233876,10.5,55,ACTIVE
L0000055,C000966,LP005,BR008,2023-10-02,2023-10-08,2023-10-11,293832,12.0,32,ACTIVE
L0000056,C000712,LP005,BR002,2022-03-11,2022-03-15,2022-03-17,562421,12.0,36,CLOSED
L0000057,C000378,LP001,BR010,2025-02-22,2025-02-23,2025-02-28,261863,14.5,54,ACTIVE
L0000058,C000299,LP005,BR008,2024-06-04,2024-06-07,2024-06-08,707237,12.0,27,ACTIVE
L0000059,C000150,LP005,BR007,2022-11-24,2022-11-29,2022-12-03,444252,12.0,24,ACTIVE
L0000060,C000403,LP001,BR004,2021-12-04,2021-12-14,2021-12-19,477826,14.5,24,ACTIVE
L0000061,C000952,LP003,BR009,2025-12-09,2025-12-13,2025-12-18,4490756,8.5,183,ACTIVE
L0000062,C000889,LP004,BR003,2024-03-22,2024-03-31,2024-04-03,1872972,16.0,33,DEFAULT
L0000063,C000135,LP005,BR004,2023-12-01,2023-12-04,2023-12-07,122344,12.0,27,CLOSED
L0000064,C000024,LP005,BR003,2025-04-08,2025-04-13,2025-04-18,819977,12.0,17,ACTIVE
L0000065,C000577,LP003,BR009,2025-02-24,2025-02-26,2025-02-28,3480333,8.5,69,ACTIVE
L0000066,C000736,LP003,BR003,2025-01-04,2025-01-11,2025-01-14,3617898,8.5,78,DEFAULT
L0000067,C000490,LP005,BR008,2022-01-03,2022-01-08,2022-01-12,912562,12.0,15,ACTIVE
L0000068,C000550,LP002,BR004,2026-07-29,2026-07-30,2026-08-04,1317004,10.5,21,ACTIVE
L0000069,C000079,LP002,BR003,2023-04-29,2023-05-03,2023-05-08,351272,10.5,60,DEFAULT
L0000070,C000737,LP003,BR008,2024-08-17,2024-08-22,2024-08-26,953504,8.5,234,CLOSED
L0000071,C000771,LP005,BR004,2023-08-07,2023-08-10,2023-08-12,379315,12.0,25,DEFAULT
L0000072,C000166,LP001,BR007,2026-04-04,2026-04-12,2026-04-14,215876,14.5,57,CLOSED
L0000073,C000869,LP004,BR010,2025-10-03,2025-10-05,2025-10-09,797574,16.0,92,CLOSED
L0000074,C000042,LP004,BR006,2024-10-03,2024-10-09,2024-10-10,109884,16.0,69,ACTIVE
L0000075,C000293,LP003,BR008,2026-01-09,2026-01-13,2026-01-15,1829050,8.5,137,ACTIVE
L0000076,C000025,LP005,BR010,2024-04-05,2024-04-08,2024-04-13,474779,12.0,32,ACTIVE
L0000077,C000470,LP001,BR001,2023-02-26,2023-03-05,2023-03-09,300295,14.5,36,ACTIVE
L0000078,C000165,LP005,BR005,2026-06-16,2026-06-17,2026-06-22,229100,12.0,35,ACTIVE
L0000079,C000732,LP004,BR005,2023-04-01,2023-04-02,2023-04-05,1687224,16.0,118,DEFAULT
L0000080,C000602,LP003,BR001,2024-03-16,2024-03-20,2024-03-21,534593,8.5,172,CLOSED
L0000081,C000313,LP005,BR007,2022-07-16,2022-07-20,2022-07-23,347252,12.0,16,ACTIVE
L0000082,C000348,LP004,BR002,2025-09-17,2025-09-24,2025-09-29,1334531,16.0,51,CLOSED
L0000083,C000564,LP003,BR005,2022-10-18,2022-10-20,2022-10-21,3001501,8.5,86,ACTIVE
L0000084,C000899,LP002,BR001,2023-11-28,2023-12-07,2023-12-12,1199154,10.5,55,ACTIVE
L0000085,C000021,LP004,BR009,2026-06-18,2026-06-21,2026-06-24,1990338,16.0,74,ACTIVE
L0000086,C000632,LP003,BR010,2023-04-07,2023-04-11,2023-04-13,3883894,8.5,16,CLOSED
L0000087,C000975,LP005,BR001,2024-07-24,2024-07-28,2024-07-30,241449,12.0,35,ACTIVE
L0000088,C000190,LP001,BR007,2022-06-20,2022-06-30,2022-07-05,138596,14.5,19,ACTIVE
L0000089,C000257,LP004,BR005,2023-08-07,2023-08-08,2023-08-12,1938246,16.0,93,ACTIVE
L0000090,C000472,LP004,BR008,2024-09-23,2024-10-02,2024-10-07,201894,16.0,88,ACTIVE
L0000091,C000201,LP002,BR008,2023-08-10,2023-08-12,2023-08-13,201156,10.5,26,ACTIVE
L0000092,C000031,LP001,BR001,2024-04-27,2024-05-05,2024-05-09,114799,14.5,47,ACTIVE
L0000093,C000234,LP003,BR007,2025-04-14,2025-04-22,2025-04-24,2223816,8.5,189,ACTIVE
L0000094,C000175,LP004,BR008,2024-07-11,2024-07-16,2024-07-20,1487611,16.0,24,DEFAULT
L0000095,C000157,LP001,BR005,2024-11-13,2024-11-18,2024-11-23,367526,14.5,56,CLOSED
L0000096,C000818,LP003,BR004,2023-12-04,2023-12-11,2023-12-12,4791484,8.5,196,DEFAULT
L0000097,C000185,LP002,BR008,2024-03-17,2024-03-19,2024-03-22,339101,10.5,25,ACTIVE
L0000098,C000776,LP001,BR009,2025-08-26,2025-08-30,2025-09-04,154726,14.5,28,DEFAULT
L0000099,C000953,LP004,BR009,2022-09-16,2022-09-20,2022-09-23,1575213,16.0,64,ACTIVE
L0000100,C000704,LP001,BR001,2025-09-16,2025-09-19,2025-09-20,337382,14.5,43,CLOSED
L0000101,C000256,LP004,BR004,2022-03-01,2022-03-09,2022-03-12,591793,16.0,12,ACTIVE
L0000102,C000002,LP001,BR005,2022-04-25,2022-04-27,2022-04-28,487902,14.5,48,ACTIVE
L0000103,C000377,LP003,BR001,2025-09-22,2025-09-25,2025-09-26,4792495,8.5,31,ACTIVE
L0000104,C000939,LP002,BR008,2023-05-13,2023-05-18,2023-05-20,1057876,10.5,49,ACTIVE
L0000105,C000786,LP002,BR009,2025-12-18,2025-12-26,2025-12-27,309314,10.5,34,ACTIVE
L0000106,C000965,LP004,BR006,2022-09-23,2022-09-28,2022-10-01,1781068,16.0,98,ACTIVE
L0000107,C000087,LP002,BR003,2024-12-14,2024-12-21,2024-12-22,299226,10.5,17,ACTIVE
L0000108,C000185,LP002,BR008,2026-03-20,2026-03-23,2026-03-25,789251,10.5,57,ACTIVE
L0000109,C000155,LP002,BR002,2024-03-30,2024-04-09,2024-04-12,294933,10.5,59,ACTIVE
L0000110,C000904,LP001,BR005,2025-03-22,2025-03-25,2025-03-26,260122,14.5,37,ACTIVE
L0000111,C000575,LP003,BR001,2022-03-02,2022-03-07,2022-03-11,4511809,8.5,216,ACTIVE
L0000112,C000697,LP002,BR005,2022-12-28,2022-12-31,2023-01-01,377896,10.5,19,CLOSED
L0000113,C000035,LP002,BR007,2022-11-16,2022-11-18,2022-11-22,1338893,10.5,73,DEFAULT
L0000114,C000545,LP005,BR001,2023-05-31,2023-06-08,2023-06-10,661018,12.0,24,ACTIVE
L0000115,C000720,LP005,BR003,2024-08-15,2024-08-25,2024-08-26,924476,12.0,33,CLOSED
L0000116,C000736,LP001,BR009,2025-03-10,2025-03-18,2025-03-22,109211,14.5,38,ACTIVE
L0000117,C000609,LP003,BR002,2026-07-21,2026-07-22,2026-07-23,2694567,8.5,179,ACTIVE
L0000118,C000034,LP001,BR004,2025-08-07,2025-08-08,2025-08-13,452406,14.5,59,DEFAULT
L0000119,C000892,LP001,BR002,2022-12-04,2022-12-14,2022-12-16,401191,14.5,33,DEFAULT
L0000120,C000004,LP001,BR001,2024-05-25,2024-06-03,2024-06-08,99934,14.5,39,CLOSED
L0000121,C000297,LP002,BR010,2023-03-30,2023-04-07,2023-04-10,1491902,10.5,61,CLOSED
L0000122,C000129,LP003,BR003,2022-05-25,2022-06-03,2022-06-08,957733,8.5,14,CLOSED
L0000123,C000088,LP005,BR005,2025-11-08,2025-11-17,2025-11-21,913251,12.0,27,CLOSED
L0000124,C000951,LP004,BR008,2024-07-15,2024-07-17,2024-07-21,772417,16.0,42,ACTIVE
L0000125,C000414,LP005,BR005,2023-03-19,2023-03-24,2023-03-25,551553,12.0,19,DEFAULT
L0000126,C000135,LP002,BR008,2024-05-16,2024-05-23,2024-05-27,592830,10.5,22,ACTIVE
L0000127,C000350,LP003,BR004,2022-03-15,2022-03-23,2022-03-28,4258923,8.5,34,ACTIVE
L0000128,C000054,LP004,BR010,2021-09-30,2021-10-08,2021-10-11,348946,16.0,75,ACTIVE
L0000129,C000785,LP005,BR009,2025-07-21,2025-07-23,2025-07-27,452368,12.0,13,DEFAULT
L0000130,C000948,LP001,BR009,2024-01-13,2024-01-22,2024-01-23,483014,14.5,17,DEFAULT
L0000131,C000434,LP005,BR007,2023-06-28,2023-07-08,2023-07-11,953348,12.0,28,DEFAULT
L0000132,C000229,LP004,BR003,2023-02-21,2023-02-25,2023-03-01,814823,16.0,58,ACTIVE
L0000133,C000651,LP003,BR007,2026-08-11,2026-08-15,2026-08-19,3284788,8.5,155,DEFAULT
L0000134,C000153,LP004,BR002,2023-01-21,2023-01-31,2023-02-04,1602940,16.0,96,ACTIVE
L0000135,C000761,LP003,BR008,2025-11-15,2025-11-23,2025-11-24,1317360,8.5,206,CLOSED
L0000136,C000870,LP003,BR008,2022-06-16,2022-06-17,2022-06-20,3479121,8.5,224,ACTIVE
L0000137,C000758,LP005,BR005,2022-10-23,2022-11-01,2022-11-06,412052,12.0,34,ACTIVE
L0000138,C000953,LP001,BR005,2025-05-25,2025-05-26,2025-05-28,308171,14.5,20,ACTIVE
L0000139,C000061,LP002,BR010,2025-05-12,2025-05-14,2025-05-17,1381049,10.5,37,CLOSED
L0000140,C000114,LP001,BR001,2025-02-20,2025-02-22,2025-02-26,163030,14.5,41,CLOSED
L0000141,C000731,LP001,BR004,2025-05-10,2025-05-16,2025-05-17,446964,14.5,38,ACTIVE
L0000142,C000828,LP003,BR003,2025-10-08,2025-10-18,2025-10-19,4279106,8.5,129,DEFAULT
L0000143,C000078,LP002,BR002,2024-12-19,2024-12-28,2024-12-30,1146119,10.5,12,DEFAULT
L0000144,C000680,LP001,BR002,2021-09-30,2021-10-01,2021-10-06,276917,14.5,49,ACTIVE
L0000145,C000164,LP003,BR009,2022-01-11,2022-01-20,2022-01-22,1956684,8.5,199,CLOSED
L0000146,C000157,LP001,BR008,2026-04-01,2026-04-03,2026-04-07,394730,14.5,50,DEFAULT
L0000147,C000199,LP004,BR007,2023-05-28,2023-06-03,2023-06-08,1948409,16.0,61,ACTIVE
L0000148,C000221,LP004,BR002,2024-11-18,2024-11-28,2024-11-30,673772,16.0,62,ACTIVE
L0000149,C000578,LP005,BR009,2021-10-29,2021-11-03,2021-11-07,863890,12.0,16,CLOSED
L0000150,C000605,LP004,BR009,2024-06-13,2024-06-20,2024-06-25,1568036,16.0,107,DEFAULT
L0000151,C000237,LP003,BR002,2026-03-23,2026-03-28,2026-04-02,3133274,8.5,194,DEFAULT
L0000152,C000463,LP003,BR002,2023-05-01,2023-05-05,2023-05-07,2259197,8.5,171,ACTIVE
L0000153,C000759,LP005,BR009,2021-11-10,2021-11-16,2021-11-18,764904,12.0,32,CLOSED
L0000154,C000116,LP001,BR003,2021-09-28,2021-10-07,2021-10-12,414019,14.5,52,ACTIVE
L0000155,C000125,LP001,BR006,2023-10-29,2023-10-31,2023-11-03,344796,14.5,42,DEFAULT
L0000156,C000079,LP004,BR001,2023-08-19,2023-08-29,2023-09-02,1513991,16.0,107,DEFAULT
L0000157,C000112,LP005,BR007,2024-08-20,2024-08-25,2024-08-29,867568,12.0,12,DEFAULT
L0000158,C000034,LP005,BR008,2024-05-12,2024-05-14,2024-05-15,419371,12.0,16,ACTIVE
L0000159,C000345,LP002,BR009,2022-10-21,2022-10-22,2022-10-24,659894,10.5,32,ACTIVE
L0000160,C000599,LP001,BR010,2022-08-01,2022-08-06,2022-08-08,490077,14.5,15,ACTIVE
L0000161,C000249,LP005,BR008,2024-12-20,2024-12-24,2024-12-29,53875,12.0,23,ACTIVE
L0000162,C000896,LP001,BR001,2025-12-27,2025-12-29,2026-01-03,404170,14.5,59,DEFAULT
L0000163,C000411,LP003,BR001,2024-04-24,2024-04-28,2024-05-03,3762217,8.5,72,DEFAULT
L0000164,C000979,LP002,BR009,2023-02-16,2023-02-21,2023-02-22,900236,10.5,61,ACTIVE
L0000165,C000535,LP003,BR003,2022-04-06,2022-04-12,2022-04-17,951325,8.5,15,ACTIVE
L0000166,C000621,LP004,BR006,2022-02-05,2022-02-09,2022-02-14,1922110,16.0,111,ACTIVE
L0000167,C000377,LP005,BR003,2024-03-30,2024-04-03,2024-04-06,811787,12.0,30,DEFAULT
L0000168,C000375,LP002,BR010,2024-03-07,2024-03-17,2024-03-19,505794,10.5,49,ACTIVE
L0000169,C000496,LP001,BR008,2025-08-02,2025-08-05,2025-08-06,148029,14.5,23,DEFAULT
L0000170,C000459,LP001,BR009,2026-02-18,2026-02-20,2026-02-24,71304,14.5,39,ACTIVE
L0000171,C000345,LP003,BR007,2026-03-02,2026-03-11,2026-03-14,1591077,8.5,53,DEFAULT
L0000172,C000996,LP001,BR003,2024-07-31,2024-08-05,2024-08-06,223310,14.5,41,CLOSED
L0000173,C000502,LP004,BR010,2025-05-25,2025-05-26,2025-05-28,776604,16.0,88,ACTIVE
L0000174,C000395,LP005,BR004,2022-11-05,2022-11-15,2022-11-18,534379,12.0,30,DEFAULT
L0000175,C000095,LP002,BR009,2024-08-15,2024-08-21,2024-08-22,766598,10.5,79,CLOSED
L0000176,C000514,LP004,BR003,2025-11-16,2025-11-19,2025-11-24,242976,16.0,112,DEFAULT
L0000177,C000310,LP005,BR001,2024-10-06,2024-10-09,2024-10-13,589460,12.0,29,ACTIVE
L0000178,C000611,LP003,BR003,2023-04-24,2023-04-26,2023-04-29,2355543,8.5,238,CLOSED
L0000179,C000202,LP001,BR003,2023-02-10,2023-02-16,2023-02-19,239161,14.5,30,CLOSED
L0000180,C000287,LP001,BR007,2025-02-20,2025-03-02,2025-03-07,298961,14.5,47,ACTIVE
L0000181,C000107,LP004,BR007,2021-11-14,2021-11-16,2021-11-19,1034631,16.0,42,DEFAULT
L0000182,C000971,LP002,BR007,2023-08-26,2023-09-05,2023-09-07,183628,10.5,53,ACTIVE
L0000183,C000337,LP005,BR005,2023-08-13,2023-08-15,2023-08-19,289054,12.0,29,ACTIVE
L0000184,C000683,LP004,BR007,2022-10-28,2022-10-29,2022-11-03,1824087,16.0,110,ACTIVE
L0000185,C000767,LP001,BR007,2023-07-04,2023-07-13,2023-07-18,283600,14.5,43,ACTIVE
L0000186,C000309,LP005,BR009,2021-11-23,2021-11-28,2021-11-30,355872,12.0,28,ACTIVE
L0000187,C000121,LP004,BR002,2025-12-31,2026-01-02,2026-01-04,1721766,16.0,80,DEFAULT
L0000188,C000466,LP002,BR001,2023-02-23,2023-02-24,2023-02-25,542040,10.5,39,ACTIVE
L0000189,C000169,LP003,BR004,2022-10-03,2022-10-05,2022-10-07,4151038,8.5,177,ACTIVE
L0000190,C000795,LP004,BR003,2024-10-28,2024-10-31,2024-11-01,1063065,16.0,103,ACTIVE
L0000191,C000058,LP004,BR004,2022-01-10,2022-01-11,2022-01-12,253612,16.0,18,CLOSED
L0000192,C000596,LP002,BR007,2024-11-24,2024-11-29,2024-12-04,247727,10.5,41,ACTIVE
L0000193,C000011,LP005,BR008,2023-11-19,2023-11-26,2023-11-30,493039,12.0,32,ACTIVE
L0000194,C000364,LP002,BR010,2026-04-04,2026-04-11,2026-04-14,135422,10.5,61,ACTIVE
L0000195,C000303,LP005,BR006,2022-02-13,2022-02-22,2022-02-23,692580,12.0,35,DEFAULT
L0000196,C000869,LP001,BR001,2022-02-12,2022-02-14,2022-02-19,73863,14.5,56,ACTIVE
L0000197,C000217,LP004,BR009,2022-08-17,2022-08-23,2022-08-28,322582,16.0,49,ACTIVE
L0000198,C000965,LP002,BR006,2021-11-16,2021-11-26,2021-11-27,690384,10.5,68,ACTIVE
L0000199,C000763,LP001,BR003,2022-02-12,2022-02-19,2022-02-20,298506,14.5,22,DEFAULT
L0000200,C000008,LP001,BR006,2022-09-10,2022-09-14,2022-09-16,441514,14.5,37,DEFAULT
L0000201,C000337,LP001,BR007,2025-04-02,2025-04-07,2025-04-09,206267,14.5,55,ACTIVE
L0000202,C000632,LP003,BR009,2025-06-27,2025-06-28,2025-07-03,1685929,8.5,43,ACTIVE
L0000203,C000196,LP004,BR005,2024-12-10,2024-12-11,2024-12-16,1351275,16.0,62,DEFAULT
L0000204,C000731,LP003,BR001,2022-10-04,2022-10-13,2022-10-14,3055934,8.5,65,ACTIVE
L0000205,C000938,LP004,BR002,2026-05-13,2026-05-17,2026-05-21,1999239,16.0,94,DEFAULT
L0000206,C000475,LP003,BR001,2023-11-10,2023-11-13,2023-11-15,2043442,8.5,68,DEFAULT
L0000207,C000217,LP005,BR006,2025-09-28,2025-10-03,2025-10-05,140190,12.0,17,DEFAULT
L0000208,C000961,LP002,BR003,2023-01-04,2023-01-05,2023-01-10,1067343,10.5,82,ACTIVE
L0000209,C000728,LP002,BR004,2023-06-16,2023-06-21,2023-06-22,625730,10.5,24,CLOSED
L0000210,C000531,LP002,BR010,2021-10-14,2021-10-24,2021-10-28,793844,10.5,57,CLOSED
L0000211,C000274,LP005,BR002,2024-04-08,2024-04-12,2024-04-13,318987,12.0,31,ACTIVE
L0000212,C000984,LP001,BR002,2025-04-15,2025-04-19,2025-04-22,304731,14.5,40,ACTIVE
L0000213,C000648,LP004,BR002,2022-07-26,2022-08-05,2022-08-08,1554287,16.0,86,CLOSED
L0000214,C000448,LP005,BR002,2026-02-18,2026-02-28,2026-03-05,402199,12.0,22,ACTIVE
L0000215,C000885,LP002,BR010,2024-01-02,2024-01-05,2024-01-06,756859,10.5,43,CLOSED
L0000216,C000584,LP005,BR007,2022-11-16,2022-11-23,2022-11-26,900919,12.0,23,CLOSED
L0000217,C000727,LP002,BR008,2025-04-09,2025-04-15,2025-04-19,1070663,10.5,69,ACTIVE
L0000218,C000228,LP004,BR001,2022-08-07,2022-08-12,2022-08-16,1256939,16.0,25,CLOSED
L0000219,C000176,LP005,BR001,2026-01-22,2026-02-01,2026-02-02,902683,12.0,20,CLOSED
L0000220,C000751,LP003,BR002,2022-09-16,2022-09-25,2022-09-27,2708172,8.5,199,ACTIVE
L0000221,C000220,LP003,BR002,2024-02-11,2024-02-13,2024-02-14,4754520,8.5,173,ACTIVE
L0000222,C000516,LP004,BR006,2022-09-05,2022-09-15,2022-09-20,949628,16.0,110,DEFAULT
L0000223,C000120,LP001,BR003,2022-08-12,2022-08-16,2022-08-17,339194,14.5,28,DEFAULT
L0000224,C000056,LP002,BR009,2025-12-10,2025-12-19,2025-12-23,1471344,10.5,31,ACTIVE
L0000225,C000222,LP002,BR008,2023-05-26,2023-06-02,2023-06-04,1336482,10.5,49,CLOSED
L0000226,C000223,LP004,BR008,2023-05-29,2023-06-06,2023-06-11,1170411,16.0,23,ACTIVE
L0000227,C000187,LP005,BR009,2023-12-12,2023-12-18,2023-12-23,31106,12.0,33,CLOSED
L0000228,C000817,LP005,BR003,2026-02-27,2026-03-09,2026-03-11,813988,12.0,28,CLOSED
L0000229,C000529,LP005,BR001,2023-06-04,2023-06-12,2023-06-14,207847,12.0,30,DEFAULT
L0000230,C000211,LP002,BR004,2024-10-02,2024-10-05,2024-10-09,852448,10.5,17,CLOSED
L0000231,C000118,LP002,BR002,2025-03-12,2025-03-20,2025-03-22,231829,10.5,45,ACTIVE
L0000232,C000658,LP005,BR003,2024-03-21,2024-03-25,2024-03-26,721062,12.0,18,DEFAULT
L0000233,C000544,LP002,BR005,2023-01-27,2023-02-02,2023-02-06,1084978,10.5,70,ACTIVE
L0000234,C000014,LP005,BR001,2022-01-16,2022-01-17,2022-01-20,128239,12.0,34,DEFAULT
L0000235,C000145,LP005,BR003,2026-05-16,2026-05-21,2026-05-24,626739,12.0,29,DEFAULT
L0000236,C000170,LP005,BR007,2025-12-06,2025-12-09,2025-12-13,705428,12.0,24,ACTIVE
L0000237,C000367,LP003,BR009,2023-06-23,2023-07-03,2023-07-04,4834082,8.5,76,ACTIVE
L0000238,C000430,LP005,BR002,2025-10-18,2025-10-22,2025-10-27,445556,12.0,23,ACTIVE
L0000239,C000726,LP004,BR010,2024-07-09,2024-07-17,2024-07-21,1960534,16.0,89,ACTIVE
L0000240,C000955,LP002,BR004,2023-09-14,2023-09-23,2023-09-25,1022534,10.5,33,CLOSED
L0000241,C000283,LP005,BR010,2021-09-24,2021-09-26,2021-10-01,694734,12.0,20,CLOSED
L0000242,C000211,LP001,BR003,2021-10-25,2021-10-28,2021-10-30,132500,14.5,35,DEFAULT
L0000243,C000702,LP003,BR006,2022-06-19,2022-06-21,2022-06-23,3978031,8.5,219,ACTIVE
L0000244,C000700,LP001,BR005,2022-08-25,2022-08-27,2022-08-31,404014,14.5,42,ACTIVE
L0000245,C000226,LP001,BR003,2026-08-04,2026-08-08,2026-08-13,134539,14.5,53,ACTIVE
L0000246,C000274,LP004,BR009,2025-11-29,2025-11-30,2025-12-02,190480,16.0,28,DEFAULT
L0000247,C000797,LP002,BR007,2022-12-23,2023-01-02,2023-01-04,382536,10.5,77,ACTIVE
L0000248,C000711,LP002,BR002,2022-06-22,2022-07-02,2022-07-04,217255,10.5,33,ACTIVE
L0000249,C000998,LP001,BR002,2026-01-22,2026-01-25,2026-01-30,262575,14.5,50,DEFAULT
L0000250,C000932,LP002,BR010,2022-05-07,2022-05-08,2022-05-11,279827,10.5,39,ACTIVE
L0000251,C000682,LP002,BR010,2022-07-27,2022-08-06,2022-08-10,1110131,10.5,33,CLOSED
L0000252,C000614,LP005,BR008,2023-11-20,2023-11-27,2023-12-02,169644,12.0,30,CLOSED
L0000253,C000967,LP004,BR010,2023-09-04,2023-09-14,2023-09-19,654740,16.0,33,ACTIVE
L0000254,C000169,LP003,BR007,2025-08-05,2025-08-13,2025-08-18,1077496,8.5,70,ACTIVE
L0000255,C000265,LP001,BR008,2024-03-23,2024-03-30,2024-04-01,106922,14.5,13,CLOSED
L0000256,C000454,LP001,BR003,2023-12-15,2023-12-24,2023-12-29,408805,14.5,38,CLOSED
